,file,parsed,entities,labels,position_start,position_end,has_terms
PMC5001741,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC5001741\sections\1_body\3_discussion\2_limitations\1_p.xml,"Although this study represents a vital step in eligibility criteria trend analysis, there is still a large scope for extending this work in future studies. Firstly, clinical concepts were identified in this study using the UMLS ontology through a dictionary matching approach for named entity recognition (NER). Although this approach is straightforward in its implementation, it suffers from various limitations such as false positives caused by the ambiguity of names and false negatives created by differences in spelling and synonymous concepts
 ","[Firstly, UMLS]","['ORDINAL', 'ORG']","[156, 223]","[163, 227]",False
PMC5323176,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC5323176\sections\1_body\3_materials_and_methods\4_statistical_analysis\1_p.xml,The primary objective was to describe the correct use of standardized AE terms/Grades in randomized oncology clinical trial publications in the context of CTCAE v3.0. The secondary objective was to assess trial characteristics associated with the total score of each article.,"[AE, secondary]","['ORG', 'ORDINAL']","[70, 171]","[72, 180]",False
PMC5574436,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC5574436\sections\1_body\6_discussion\5_limitations\1_p.xml,"We note several limitations to our economic impact analysis. First, there are a number of factors that do not lend themselves to quantification, including the psychological and quality-of-life effects of trial participation for individuals with cancer and their families. Some of these factors might have economic consequences (e.g., stress effects on work attendance and performance), and others might predominantly affect quality of life. To the extent that patients prefer care closer to home and there are no significant differences in health outcomes across treatment sites, these unquantified effects likely mean our economic effects are underestimated. Additionally, we captured only short-term effects of the enhanced clinical trial network. Data are not readily available for longer-term effects, which might include more expertise and collaboration in cancer treatment, more capacity for cancer prevention and early detection, and higher cancer survival rates. Finally, the enhanced clinical trial network might induce residents of other states to travel to Kansas for cancer care, increasing medical and travel-related spending in the state. All of these factors could lead to an actual economic impact that is larger than the estimates presented.","[First, Kansas]","['ORDINAL', 'GPE']","[61, 1068]","[66, 1074]",False
PMC5894219,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC5894219\sections\1_body\1_methods\5_statistical_analyses\1_p.xml,"For continuous variables, means, medians and standard deviations were obtained. For categorical variables, proportions were obtained. All descriptive analyses were done using SAS, version 9.4.","[SAS, 9.4]","['ORG', 'CARDINAL']","[175, 188]","[178, 191]",False
PMC6385324,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC6385324\sections\1_body\4_future_directions\2_perspectives\1_p.xml,"Several other ALK inhibitors are currently being developed, such as brigatinib,
 ",[ALK],['ORG'],[14],[17],False
PMC6410951,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC6410951\sections\1_body\6_results\5_additional_analyses\1_p.xml,"The exclusion of individual studies (“leave one out”) resulted in relative changes to the trial unavailable rate of at most 5.1% (range in absolute percentage estimates: 52.8%–58.3%), to the nonenrollment rate of at most 18.6% (range in absolute percentage estimates: 12.8%–17.5%), to the patient ineligibility rate of at most 18.0% (range in absolute percentage estimates: 18.5%–25.4%), and to the overall enrollment rate of at most 11.6% (range in absolute percentage estimates: 7.5%–9.1%; 
 ","[most 5.1%, 52.8%–58.3%, most 18.6%, 12.8%–17.5%, most 18.0%, 18.5%–25.4%, most 11.6%, 7.5%–9.1%]","['PERCENT', 'PERCENT', 'PERCENT', 'PERCENT', 'PERCENT', 'PERCENT', 'PERCENT', 'PERCENT']","[119, 170, 216, 268, 322, 374, 429, 481]","[128, 181, 226, 279, 332, 385, 439, 490]",False
PMC6693715,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC6693715\sections\2_back\2_disclosures\1_p.xml,"
 ",[],[],[],[],False
PMC7268329,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC7268329\sections\2_back\2_supplementary_information\1_p.xml,"
 ",[],[],[],[],False
PMC7469318,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC7469318\sections\2_back\2_supplementary_information\1_p.xml,"
 ",[],[],[],[],False
PMC7495966,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_30\PMC7495966\sections\2_back\1_supplementary_information\1_p.xml,"
 ",[],[],[],[],False
