,file,parsed,entities,labels,position_start,position_end
PMC7906226,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7906226\sections\1_body\0_introduction\1_p.xml,"Since the 1990s, laparoscopic inguinal hernioplasty has been performed more frequently worldwide. The laparoscopic approach can be either transperitoneal or retroperitoneal. Transabdominal preperitoneal (TAPP) repair is commonly performed because of its advantages as a minimally invasive approach, resulting in less postoperative discomfort, better cosmesis, and a shorter hospital stay (
 ","[the 1990s, TAPP]","['DATE', 'ORG']","[6, 204]","[15, 208]"
PMC7940375,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7940375\sections\1_body\0_introduction\1_p.xml,"Behçet disease (BD) is characterized by recurrent oral aphthous ulcers and other systemic manifestations. BD is believed to be an autoimmune and vasculitic disorder. BD affects the veins more frequently than the arteries (
 ","[BD, BD, BD]","['ORG', 'ORG', 'ORG']","[16, 106, 166]","[18, 108, 168]"
PMC7947343,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7947343\sections\1_body\0_introduction\1_p.xml,"Human behavior is influenced by individuals' values. To realize the Chinese dream of national rejuvenation, the Chinese government advocated 24 core socialist values, including prosperity, democracy, civility, harmony, freedom, equality, justice, the rule of law, patriotism, dedication, integrity, and friendliness (Wu, 
 ","[Chinese, Chinese, 24, Wu]","['NORP', 'NORP', 'CARDINAL', 'PERSON']","[68, 112, 141, 317]","[75, 119, 143, 319]"
PMC7959173,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7959173\sections\1_body\0_introduction\1_p.xml,"In order to contribute positively to the development of a precise decision-making process, sharing the experiences and perspectives is crucial. We report the case of a positive SARS-CoV-2 female patient candidate to surgical biopsy of a Positron Emission Tomography (PET-TC) positive mediastinal mass which, following the resolution of the viral infection, underwent a complete regression.",[PET-TC],['ORG'],[267],[273]
PMC7969973,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7969973\sections\1_body\0_introduction\1_p.xml,"The predominant lymphatic drainage pathway drains from the breast toward the axilla (
 ",[],[],[],[]
PMC7982648,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7982648\sections\1_body\0_introduction\1_p.xml,"Haberland syndrome or encephalocraniocutaneous lipomatosis is a rare ectomesodermal dysgenesis defined by the triad including ocular, skin, and central nervous system involvement, which is commonly unilateral (
 ",[Haberland],['ORG'],[0],[9]
PMC7987664,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7987664\sections\1_body\0_introduction\1_p.xml,"Chronic cough, which is defined as a cough lasting for more than 8 weeks, is the most common symptom that accompanies a diverse range of respiratory diseases, non-respiratory conditions, and rarer conditions (
 ",[more than 8 weeks],['DATE'],[55],[72]
PMC7994513,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7994513\sections\1_body\0_introduction\1_p.xml,"Thyroid metastases from breast cancer are unusual, accounting for less than 0.2% of thyroid fine needle aspiration biopsy (FNAB) (
 ",[less than 0.2%],['PERCENT'],[66],[80]
PMC8005519,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8005519\sections\1_body\0_introduction\1_p.xml,"It is well-documented that elite endurance athletes are characterized by having up to 40% higher levels of total hemoglobin mass (Hb
 ","[up to 40%, Hb
 ]","['PERCENT', 'PERSON']","[80, 130]","[89, 134]"
PMC8011658,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8011658\sections\1_body\0_introduction\1_p.xml,"Stricture at the cutaneous-mucosal anastomotic junction between the pharynx and tubed skin flaps can be a difficult problem to manage following pharyngo-esophageal reconstruction (
 ",[],[],[],[]
PMC8012510,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8012510\sections\1_body\0_introduction\1_p.xml,"Since the new coronavirus disease (COVID-19) was first identified in Wuhan, China, in December 2019 (
 ","[first, Wuhan, China, December 2019]","['ORDINAL', 'GPE', 'GPE', 'DATE']","[49, 69, 76, 86]","[54, 74, 81, 99]"
PMC8017196,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8017196\sections\1_body\0_introduction\1_p.xml,"Thiamine-responsive megaloblastic anemia syndrome (TRMA), first reported by Porter et al. in 1969 (
 ",[1969],['DATE'],[93],[97]
PMC8019914,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8019914\sections\1_body\0_introduction\1_p.xml,"Enzinger first described a rare soft tissue tumor of clear cell sarcoma (CCS) in 1965 that arose from the abnormal differentiation of pigment cells (
 ","[Enzinger, first, 1965]","['PERSON', 'ORDINAL', 'DATE']","[0, 9, 81]","[8, 14, 85]"
PMC8020902,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8020902\sections\1_body\0_introduction\1_p.xml,"Up to 20–40% of patients with cancer, such as non-small cell lung cancer, breast cancer, melanoma, and renal cell carcinoma, will develop brain metastases (BM) (
 ",[Up to 20–40%],['PERCENT'],[0],[12]
PMC8023327,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8023327\sections\1_body\0_introduction\1_p.xml,"Focal myositis (FM) is a rare and benign dysimmune disease characterized as a rapidly growing solitary mass within a single muscle, which usually involved in lower limbs and experienced self-regression in most cases (
 ",[],[],[],[]
PMC8027102,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8027102\sections\1_body\0_introduction\1_p.xml,"Dupuytren’s disease (DD) is a connective tissue disorder of the hand characterized by excessive fibrosis of the palmar fascia. DD results in finger contracture and disability (
 ",[],[],[],[]
PMC8027481,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8027481\sections\1_body\0_introduction\1_p.xml,"Among the various forms of breast tumors, phyllodes tumor (PT) has the lower incidence rate (1/100,000 individuals) (
 ","[1/100,000]",['CARDINAL'],[93],[102]
PMC8032858,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8032858\sections\1_body\0_introduction\1_p.xml,"Asymptomatic severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections remain highly under-diagnosed (
 ",[2],['CARDINAL'],[59],[60]
PMC8042130,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8042130\sections\1_body\0_introduction\1_p.xml,"The era of geriatric surgery has arrived (
 ",[],[],[],[]
PMC8044422,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8044422\sections\1_body\0_introduction\1_p.xml,"Cystic fibrosis (CF) is characterized by frequent pulmonary exacerbations resulting in bronchiectasis, irreversible lung damage and eventually lung failure. The path of disease progression is established early in life with lung damage already evident in patients with CF as early as 6 years of age (
 ",[CF],['GPE'],[268],[270]
PMC8044765,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8044765\sections\1_body\0_introduction\1_p.xml,"Infection of the central nervous system (CNS), usually presenting as meningitis or encephalitis, is linked to high mortality and morbidity rates throughout the world (
 ",[],[],[],[]
PMC8060638,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8060638\sections\1_body\0_introduction\1_p.xml,"McKeown esophagectomy is the primary surgical procedure for esophageal malignancies. As RGEA is the primary source of blood supply of the gastric conduit (
 ",[RGEA],['PERSON'],[88],[92]
PMC8062769,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8062769\sections\1_body\0_introduction\1_p.xml,"An individual's sexuality is an inherent component of their everyday life experiences. The World Health Organization defines sexuality as, “…a central aspect of being human throughout life [and] encompasses sex, gender identities and roles, sexual orientation, eroticism, pleasure, intimacy, and reproduction. Sexuality is experienced and expressed in thoughts, fantasies, desires, beliefs, attitudes, values, behaviors, practices, roles, and relationships” (
 ",[The World Health Organization],['ORG'],[87],[116]
PMC8076538,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8076538\sections\1_body\0_introduction\1_p.xml,"At present, two types of vestibular evoked myogenic potentials (VEMP) are examined in the clinical setting. The first is cervical VEMP (cVEMP), which are recorded in the sternocleidomastoid muscle in order to test saccular function. The other is ocular VEMP (oVEMP), which are recorded beneath the lower eyelid in order to test utricular function (
 ","[two, first]","['CARDINAL', 'ORDINAL']","[12, 112]","[15, 117]"
PMC8079727,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8079727\sections\1_body\0_introduction\1_p.xml,"Benign paroxysmal positional vertigo (BPPV) is a very frequent cause of vertigo, with a reported prevalence of 10-140 per 100,000 and a lifetime prevalence of 2.4% (
 ","[10-140, 100,000, 2.4%]","['CARDINAL', 'CARDINAL', 'PERCENT']","[111, 122, 159]","[117, 129, 163]"
PMC8082418,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8082418\sections\1_body\0_introduction\1_p.xml,"Over the last few months, the SARS-CoV2 pandemic has had an impact on chronic therapies in patients with rare disease, such as alpha-1 antitrypsin deficiency (AATD). Augmentation therapy with exogenous AAT is the only specific therapy for the lung disease associated with AATD. The biochemical and clinical efficacy of AAT therapy has been well established in numerous studies–a dose of 60 mg/kg per week (
 ","[the last few months, AATD, AAT, AATD, 60]","['DATE', 'ORG', 'ORG', 'ORG', 'CARDINAL']","[5, 159, 202, 272, 387]","[24, 163, 205, 276, 389]"
