,file,parsed,entities,labels,position_start,position_end
PMC8019941,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8019941\sections\1_body\6_ethics_statement\1_p.xml,The study involving clinical outcome of human participants was reviewed and approved by Institutional Review Board. The patients/participants provided their written informed consent before treatment.,[Institutional Review Board],['ORG'],[88],[114]
PMC8021916,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8021916\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by The Institutional Review Board of the Songeui Campus, The Catholic University of Korea. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.","[The Institutional Review Board, The Catholic University of Korea]","['ORG', 'ORG']","[71, 125]","[101, 157]"
PMC8027113,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8027113\sections\1_body\5_ethics_statement\1_p.xml,"The study was reviewed and approved by the Regional Committees for Medical and Health Research Ethics REK Midt, ref no 136767. Written informed consent from the participants was not required in accordance with national legislation and institutional requirements.","[the Regional Committees for Medical and Health Research Ethics REK Midt, 136767]","['ORG', 'DATE']","[39, 119]","[110, 125]"
PMC8042212,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8042212\sections\1_body\6_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China.","[the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China, the Ethics Committee of Nanfang Hospital, Southern Medical University, Guangzhou, China]","['ORG', 'ORG', 'GPE', 'GPE', 'ORG', 'ORG', 'GPE', 'GPE']","[71, 113, 142, 153, 302, 344, 373, 384]","[111, 140, 151, 158, 342, 371, 382, 389]"
PMC8044745,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8044745\sections\1_body\6_ethics_statement\1_p.xml,We used an established protocol for collection of extracted teeth in our biorepository and cell isolation that was approved by the Ethics Committee of UT Health San Antonio.,[the Ethics Committee of UT Health San Antonio],['ORG'],[127],[172]
PMC8071850,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8071850\sections\1_body\6_ethics_statement\1_p.xml,"The animal study was reviewed and approved by this research was approved by Research Ethics Committee of the Federal University of Goiás (CEP/UFG, protocol no. 2.269.572) and by the Ethics Commission for the Use of Animals of the São Paulo State University Júlio de Mesquita Filho (CEUA/UNESP, protocol no. 0004/2017).","[Research Ethics Committee, the Federal University of Goiás, the Ethics Commission, CEUA/UNESP]","['ORG', 'ORG', 'ORG', 'ORG']","[76, 105, 178, 282]","[101, 136, 199, 292]"
PMC8072473,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8072473\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the ethics committee of Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin.","[Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology]","['ORG', 'ORG', 'ORG']","[95, 112, 136]","[110, 134, 181]"
PMC8075349,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8075349\sections\1_body\6_ethics_statement\1_p.xml,"The parents gave their written informed consent for the treatment and analysis of clinical data. Ethical approval was waived by the local Ethics Committee of Wroclaw Medical University in view of the retrospective nature of the study, and all procedures being performed were part of routine care.",[Ethics Committee of Wroclaw Medical University],['ORG'],[138],[184]
PMC8092438,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8092438\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Ethics committee “Catania 2”, ARNAS Garibaldi, Catania, P.zza S. M. di Gesù n. 5. The patients/participants provided their written informed consent to participate in this study.","[Ethics, Catania 2, ARNAS Garibaldi, Catania, S. M. di Gesù, 5]","['ORG', 'WORK_OF_ART', 'PERSON', 'GPE', 'PERSON', 'CARDINAL']","[71, 89, 101, 118, 133, 150]","[77, 98, 116, 125, 146, 151]"
PMC8100436,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8100436\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Cangzhou Central Hospital.,[Cangzhou Central Hospital],['ORG'],[46],[71]
PMC8101326,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8101326\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Beijing Friendship Hospital Ethics Committee. The patients/participants provided their written informed consent to participate in this study.,[Beijing Friendship Hospital Ethics Committee],['ORG'],[71],[115]
PMC8134684,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8134684\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Institutional Animal Care and Use Committee (IACUC) of Tianjin Medical University.,"[Institutional Animal Care and Use Committee (IACUC, Tianjin Medical University]","['ORG', 'ORG']","[46, 101]","[96, 127]"
PMC8136432,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8136432\sections\1_body\6_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study.,[],[],[],[]
PMC8138425,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8138425\sections\1_body\6_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Medisch Ethisch Toetsingscommissie Leiden-Den Haag-Delft, Leiden University Medical Center. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin.","[Medisch Ethisch Toetsingscommissie Leiden-Den Haag-Delft, Leiden University Medical Center]","['PERSON', 'ORG']","[71, 129]","[127, 161]"
PMC8143974,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8143974\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the University of Pennsylvania Institutional Review Board. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements. Written informed consent was not obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[the University of Pennsylvania Institutional Review Board],['ORG'],[71],[128]
PMC8149898,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8149898\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Hospital Ethics Committee of the International Peace Maternity Child Health Hospital of China Welfare Institute (IPMCH). The patients/participants provided their written informed consent to participate in this study.,[the Hospital Ethics Committee],['ORG'],[71],[100]
PMC8175661,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8175661\sections\1_body\5_ethics_statement\1_p.xml,Approval for hESC work was obtained from the ISCIII-Comisión Nacional de Garantías (0336E/14973/2017).,[],[],[],[]
PMC8176860,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8176860\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics committee of First People’s Hospital of Huzhou. The patients/participants provided their written informed consent to participate in this study.,"[Ethics, First People’s Hospital, Huzhou]","['ORG', 'ORG', 'GPE']","[71, 91, 118]","[77, 114, 124]"
PMC8180599,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8180599\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by IRAS. The ethics committee waived the requirement of written informed consent for participation.,[],[],[],[]
PMC8183571,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8183571\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Huadong hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Animal Ethics and Experimental Safety of the Fudan University.,"[Ethics Committee, Animal Ethics and Experimental Safety of the Fudan University]","['ORG', 'ORG']","[71, 255]","[87, 316]"
PMC8192975,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8192975\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Committee at the Calabrodental Dental Clinic (Ethical agreement number CBD-001/TRI/2020. The patients/participants provided their written informed consent to participate in this study.,[the Committee at the Calabrodental Dental Clinic (Ethical],['ORG'],[71],[128]
PMC8193032,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8193032\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by The Ethics Committee of Shandong Cancer Hospital and Institute.,[The Ethics Committee of Shandong Cancer Hospital and Institute],['ORG'],[46],[108]
PMC8193356,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_30\PMC8193356\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The Institutional Review Board of Peking Union Medical College Hospital. All patients gave their written informed consent for participating in the present study and for the use of their data for publication.,[The Institutional Review Board of Peking Union Medical College Hospital],['ORG'],[71],[142]
