,file,parsed,entities,labels,position_start,position_end
PMC7952646,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC7952646\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Ethics Committee of Guangdong Woman and Children Hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by the Ethics Committee of Guangdong Woman and Children Hospital.,"[the Ethics Committee of Guangdong Woman and Children Hospital, the Ethics Committee of Guangdong Woman and Children Hospital]","['ORG', 'ORG']","[71, 276]","[132, 337]"
PMC7952743,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC7952743\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of Henan Provincial People’s Hospital. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[Ethics Committee of Henan Provincial People’s Hospital],['ORG'],[71],[125]
PMC7952870,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC7952870\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of Peking University People's Hospital. The patients/participants provided their written informed consent to participate in this study.,[Peking University People's Hospital],['ORG'],[95],[130]
PMC7988077,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC7988077\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Danish National Committee on Health Research Ethics (H-15005137). The patients/participants provided their written informed consent to participate in this study.,[Danish National Committee on Health Research Ethics],['ORG'],[71],[122]
PMC8006299,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8006299\sections\1_body\5_ethics_statement\1_p.xml,"This study was approved by the Medical Ethics Committee of Beijing Tiantan Hospital, Capital Medical University, Beijing, China. Written informed consent to participate in this study was obtained from all patients at the time of admission.","[the Medical Ethics Committee, Capital Medical University, Beijing, China]","['ORG', 'ORG', 'GPE', 'GPE']","[27, 85, 113, 122]","[55, 111, 120, 127]"
PMC8010307,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8010307\sections\1_body\5_ethics_statement\1_p.xml,All experiments were carried out in accordance with the ethical guidelines of the University of Queensland and with the approval by the University of Queensland Human Research Ethics Committee (Approval number-2019000159).,"[the University of Queensland, the University of Queensland Human Research Ethics Committee]","['ORG', 'ORG']","[78, 132]","[106, 192]"
PMC8012759,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8012759\sections\1_body\6_ethics_statement\1_p.xml,"The animal study was reviewed and approved by The Ethics and Scientific Committee, Department of Physiology, Kasr Al Ainy Faculty of Medicine, Cairo University, Egypt.","[The Ethics and Scientific Committee, Department of Physiology, Cairo University, Egypt]","['ORG', 'ORG', 'ORG', 'GPE']","[46, 83, 143, 161]","[81, 107, 159, 166]"
PMC8019831,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8019831\sections\1_body\6_ethics_statement\1_p.xml,The animal study was reviewed and approved by Ethics Committee in the use of animals from Medical School of the University of São Paulo (Protocol No. 123/14).,"[Ethics Committee, Medical School of the University of São Paulo, 123/14]","['ORG', 'ORG', 'CARDINAL']","[46, 90, 150]","[62, 135, 156]"
PMC8019941,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8019941\sections\1_body\6_ethics_statement\1_p.xml,The study involving clinical outcome of human participants was reviewed and approved by Institutional Review Board. The patients/participants provided their written informed consent before treatment.,[Institutional Review Board],['ORG'],[88],[114]
PMC8021718,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8021718\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by the Ethics Committee of The Third Hospital Affiliated to Medical University of Zunyi.,[the Ethics Committee of The Third Hospital Affiliated to Medical University of Zunyi],['ORG'],[46],[130]
