,file,parsed,entities,labels,position_start,position_end
PMC7952646,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC7952646\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Ethics Committee of Guangdong Woman and Children Hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by the Ethics Committee of Guangdong Woman and Children Hospital.,"[studies, human, participants, reviewed, Ethics Committee of Guangdong, Woman, Children Hospital, patients/participants, written, participate, study, animal study, reviewed, Ethics Committee of Guangdong, Woman, Children Hospital]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 75, 105, 115, 138, 175, 203, 223, 234, 251, 280, 310, 320]","[11, 27, 40, 54, 104, 110, 132, 159, 182, 214, 228, 246, 259, 309, 315, 337]"
PMC7952743,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC7952743\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of Henan Provincial People’s Hospital. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[studies, human, participants, reviewed, Ethics Committee, patients/participants, written, participate, study, Written informed consent, individual(s), publication, images, data]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 131, 168, 196, 216, 223, 270, 292, 336, 346]","[11, 27, 40, 54, 87, 152, 175, 207, 221, 247, 283, 303, 342, 350]"
PMC7952870,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC7952870\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of Peking University People's Hospital. The patients/participants provided their written informed consent to participate in this study.,"[studies, human, participants, reviewed, Peking University People's Hospital, patients/participants, written, participate, study]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 95, 136, 173, 201, 221]","[11, 27, 40, 54, 130, 157, 180, 212, 226]"
PMC7988077,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC7988077\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Danish National Committee on Health Research Ethics (H-15005137). The patients/participants provided their written informed consent to participate in this study.,"[studies, human, participants, reviewed, Danish National Committee, Health Research Ethics, H-15005137, patients/participants, written, participate, study]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 22, 28, 46, 71, 100, 124, 141, 178, 206, 226]","[11, 27, 40, 54, 96, 122, 134, 162, 185, 217, 231]"
PMC8006299,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8006299\sections\1_body\5_ethics_statement\1_p.xml,"This study was approved by the Medical Ethics Committee of Beijing Tiantan Hospital, Capital Medical University, Beijing, China. Written informed consent to participate in this study was obtained from all patients at the time of admission.","[study, Medical Ethics Committee, Capital Medical University, Beijing, China, Written informed consent, participate, study, patients, time, admission]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[5, 31, 85, 113, 122, 129, 157, 177, 205, 221, 229]","[10, 55, 111, 120, 127, 153, 168, 182, 213, 225, 238]"
PMC8010307,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8010307\sections\1_body\5_ethics_statement\1_p.xml,All experiments were carried out in accordance with the ethical guidelines of the University of Queensland and with the approval by the University of Queensland Human Research Ethics Committee (Approval number-2019000159).,"[experiments, ethical guidelines, University of Queensland, approval, University of Queensland Human Research Ethics Committee]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 56, 82, 120, 136]","[15, 74, 106, 128, 192]"
PMC8012759,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8012759\sections\1_body\6_ethics_statement\1_p.xml,"The animal study was reviewed and approved by The Ethics and Scientific Committee, Department of Physiology, Kasr Al Ainy Faculty of Medicine, Cairo University, Egypt.","[animal study, reviewed, Ethics, Scientific Committee, Department of Physiology, Kasr Al Ainy Faculty, Medicine, Cairo University, Egypt]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 21, 50, 61, 83, 109, 133, 143, 161]","[16, 29, 56, 81, 107, 129, 141, 159, 166]"
PMC8019831,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8019831\sections\1_body\6_ethics_statement\1_p.xml,The animal study was reviewed and approved by Ethics Committee in the use of animals from Medical School of the University of São Paulo (Protocol No. 123/14).,"[animal study, reviewed, Ethics Committee, animals, Medical School, University of São Paulo (Protocol No. 123/14)]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 21, 46, 77, 90, 112]","[16, 29, 62, 84, 104, 157]"
PMC8019941,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8019941\sections\1_body\6_ethics_statement\1_p.xml,The study involving clinical outcome of human participants was reviewed and approved by Institutional Review Board. The patients/participants provided their written informed consent before treatment.,"[study, clinical outcome, human, participants, reviewed, Institutional Review Board, patients/participants, written, consent, treatment]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 20, 40, 46, 63, 88, 120, 157, 174, 189]","[9, 36, 45, 58, 71, 114, 141, 164, 181, 198]"
PMC8021718,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_frontiers_50\PMC8021718\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by the Ethics Committee of The Third Hospital Affiliated to Medical University of Zunyi.,"[animal study, reviewed, Ethics Committee, Third Hospital, Medical University of Zunyi]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 21, 50, 74, 103]","[16, 29, 66, 88, 130]"
