,file,parsed,entities,labels,position_start,position_end,has_terms
PMC7906226,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7906226\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Affiliated Hospital of Qingdao University School of Medicine. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[Ethics Committee, the Affiliated Hospital of Qingdao University School of Medicine]","['ORG', 'ORG']","[71, 91]","[87, 155]",True
PMC7940375,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7940375\sections\1_body\4_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Second affiliated hospital, school of medicine, zhejiang university. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.",[Second],['ORDINAL'],[71],[77],True
PMC7947343,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7947343\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Ethics Board of Central China Normal University. The patients/participants provided their written informed consent to participate in this study.,[the Ethics Board of Central China Normal University],['ORG'],[71],[122],True
PMC7959173,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7959173\sections\1_body\4_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study.,[],[],[],[],True
PMC7969973,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7969973\sections\1_body\4_ethics_statement\1_p.xml,Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],True
PMC7982648,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7982648\sections\1_body\4_ethics_statement\1_p.xml,Authors obtained written informed consent from the patient's parents for the publication. Written informed consent was obtained from the minor(s)' legal guardian/next of kin for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],True
PMC7987664,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7987664\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Institutional Review Board for Human Studies of Second Affiliated Hospital of Zhejiang University School of Medicine (Hangzhou, China). The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.","[the Institutional Review Board for Human Studies, Zhejiang University School of Medicine, Hangzhou, China]","['ORG', 'ORG', 'GPE', 'GPE']","[71, 153, 193, 203]","[119, 191, 201, 208]",True
PMC7994513,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7994513\sections\1_body\5_ethics_statement\1_p.xml,"This study was approved by the ethics committee of the West China Hospital, Sichuan University, and written informed consent was provided by the patient for publication of this case publication.","[the West China Hospital, Sichuan University]","['ORG', 'ORG']","[51, 76]","[74, 94]",True
PMC8005519,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8005519\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Kantonale Ethikkommission Kanton Bern. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.,[Kantonale Ethikkommission Kanton Bern],['ORG'],[71],[108],True
PMC8011658,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8011658\sections\1_body\5_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],True
PMC8012510,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8012510\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Ethics Committee at the Institute of Psychology, Pedagogical University of Kraków. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.","[Ethics Committee, the Institute of Psychology, Pedagogical University of Kraków]","['ORG', 'ORG']","[71, 91]","[87, 152]",True
PMC8017196,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8017196\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Medical Ethics Committee of Xianyang Caihong Hospital. Written informed consent from the participants' legal guardian/next of kin was not required to participate in this study in accordance with the national legislation and the institutional requirements.,[the Medical Ethics Committee],['ORG'],[71],[99],True
PMC8019914,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8019914\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Ethics Committee of the Zhejiang Cancer Hospital. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[the Ethics Committee of, the Zhejiang Cancer Hospital]","['ORG', 'ORG']","[71, 95]","[94, 123]",True
PMC8020902,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8020902\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of the Affiliated Hospital of Xuzhou Medical University. The patients/participants provided their written informed consent to participate in this study.,"[the Affiliated Hospital of, Xuzhou Medical University]","['ORG', 'ORG']","[95, 122]","[121, 147]",True
PMC8023327,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8023327\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of the General Hospital of Central Theater Command. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[the General Hospital of Central Theater Command],['ORG'],[95],[142],True
PMC8027102,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8027102\sections\1_body\4_ethics_statement\1_p.xml,Written informed consent was obtained from the patient for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],True
PMC8027481,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8027481\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Fourth Affiliated Hospital of Harbin Medical University. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[Ethics Committee, the Fourth Affiliated Hospital, Harbin Medical University]","['ORG', 'FAC', 'ORG']","[71, 91, 125]","[87, 121, 150]",True
PMC8032858,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8032858\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Bahrain National Covid-19 Taskforce Ethics Committee. The patients/participants provided their written informed consent to participate in this study.,"[Bahrain National, Taskforce Ethics Committee]","['ORG', 'ORG']","[71, 97]","[87, 123]",True
PMC8033151,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8033151\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of Inner Mongolia Xing'an Meng People's Hospital. The patients/participants provided their written informed consent to participate in this study.,"[Ethics Committee, People's Hospital]","['ORG', 'ORG']","[71, 119]","[87, 136]",True
PMC8042130,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8042130\sections\1_body\3_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Medical Ethics Committee of The First Affiliated Hospital of Soochow University. The patients/participants provided their written informed consent to participate in this study.,[Medical Ethics Committee],['ORG'],[71],[95],True
PMC8044422,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8044422\sections\1_body\6_ethics_statement\1_p.xml,The ethics for this study was reviewed and approved by Tallaght University Hospital & St James's Hospital joint research ethics committee (2019-09 List 35(01)). Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.,"[Tallaght University Hospital & St, 2019-09]","['ORG', 'DATE']","[55, 139]","[88, 146]",True
PMC8044765,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8044765\sections\1_body\4_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Medical Ethics Committee of the Third Affiliated Hospital of Sun Yat-sen University. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin. Written informed consent was obtained from the participant’s next of kin for the publication of this case report, including any identifiable data or images included in this study.","[the Medical Ethics Committee, the Third Affiliated Hospital of Sun Yat-sen University]","['ORG', 'ORG']","[71, 103]","[99, 158]",True
PMC8060433,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8060433\sections\1_body\8_ethics_statement\1_p.xml,"Human research was approved by the Ethics Committee of Chengdu Second People's Hospital. The authors certify that they have obtained all appropriate patient consent forms and patients provided consent, confirming that their clinical information could be reported in journal articles.",[the Ethics Committee of Chengdu Second People's Hospital],['ORG'],[31],[87],True
PMC8060638,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8060638\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The ethics committee of the Second Affiliated Hospital of Soochow University. The patients/participants provided their written informed consent to participate in this study.,[the Second Affiliated Hospital of Soochow University],['ORG'],[95],[147],True
PMC8062708,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8062708\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by IMDEA Networks Ethics Committee. The patients/participants provided their written informed consent to participate in this study.,[IMDEA Networks Ethics Committee],['ORG'],[71],[102],True
PMC8062769,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8062769\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Royal Brisbane and Women's hospital human research ethics committee. The patients/participants provided their written informed consent to participate in this study.,[Royal Brisbane],['ORG'],[71],[85],True
PMC8076538,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8076538\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of Teikyo University School of Medicine (TR 20-078). The patients/participants provided their written informed consent to participate in this study.,[Teikyo University School of Medicine (TR],['ORG'],[95],[135],True
PMC8079727,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8079727\sections\1_body\8_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Leading ethics committee: Ethics committee of the Medical Faculty of the Ludwig Maximilians University, Munich, Germany; reference number: 17-477 and subsequently by the Ethics committee of AZ ST JAN, Brugge Oostende, Belgium, AV Ethics committee OG 065, BUN: 8049201835209 Int. Nr.2247, which required modifications of the protocol; date of final approval: May 17th, 2018. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.","[the Medical Faculty of the Ludwig Maximilians University, Munich, Germany, 17, Ethics, AZ ST JAN, Brugge Oostende, Belgium, AV Ethics, Nr.2247, May 17th, 2018]","['ORG', 'GPE', 'GPE', 'CARDINAL', 'ORG', 'ORG', 'ORG', 'GPE', 'ORG', 'ORG', 'DATE']","[117, 175, 183, 210, 241, 261, 272, 289, 298, 350, 429]","[173, 181, 190, 212, 247, 270, 287, 296, 307, 357, 443]",True
PMC8082418,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8082418\sections\2_back\2_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Ethics Committee of 
 ","[the Ethics Committee of 
 ]",['ORG'],[71],[97],True
PMC8093509,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8093509\sections\1_body\5_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements. The REB at the University of Toronto deemed this project a Quality Improvement (QI) project not requiring formal REB review or approval. It is thus noted that any conclusions made based on this project were not gained through research but through a quality improvement project carried out in a local context.,[the University of Toronto],['ORG'],[320],[345],True
PMC8093792,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8093792\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Comité de protection des personne Île de France III and Comité de protection des personne Île de France IV. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[Comité de, Île de France III, Comité de, Île de France IV]","['ORG', 'ORG', 'ORG', 'ORG']","[71, 105, 127, 161]","[80, 122, 136, 177]",True
PMC8110698,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8110698\sections\1_body\4_ethics_statement\1_p.xml,Written informed consent was obtained from the patient for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],True
PMC8112543,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8112543\sections\1_body\7_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics committee of Bielefeld University. The patients/participants provided their written informed consent to participate in this study.,"[Ethics, Bielefeld University]","['ORG', 'ORG']","[71, 91]","[77, 111]",True
PMC8113621,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8113621\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the institutional ethics committee of Shandong Provincial Hospital affiliated to Shandong First Medical University. The patients/participants provided their written informed consent to participate in this study.,"[Shandong Provincial Hospital, Shandong First Medical University]","['ORG', 'ORG']","[109, 152]","[137, 185]",True
PMC8113695,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8113695\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Medical Ethics Committee of the Xiangya Hospital and the Ethics Committee of the Third Affiliated Hospital of Soochow University. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[the Medical Ethics Committee, the Xiangya Hospital, the Ethics Committee, the Third Affiliated Hospital of Soochow University]","['ORG', 'ORG', 'ORG', 'ORG']","[71, 103, 128, 152]","[99, 123, 148, 203]",True
PMC8116530,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8116530\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Fukuoka University Hospital Ethics Committee. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[Fukuoka University Hospital Ethics Committee],['ORG'],[71],[115],True
PMC8116668,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8116668\sections\1_body\6_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Medical Ethics Committee of Huashan Hospital, Fudan University, Shanghai, China. The patients/participants provided their written informed consent to participate in this study.","[Medical Ethics Committee, Huashan Hospital, Fudan University, Shanghai, China]","['ORG', 'ORG', 'ORG', 'GPE', 'GPE']","[71, 99, 117, 135, 145]","[95, 115, 133, 143, 150]",True
PMC8116698,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8116698\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of First Affiliatted Hospital of Dalian Medical University. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[Ethics Committee, First Affiliatted Hospital of Dalian Medical University]","['ORG', 'ORG']","[71, 91]","[87, 146]",True
PMC8117937,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8117937\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Medical Ethics Committee of our hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Ethics Committee of Xiangya Hospital, Central South University.","[Medical Ethics Committee, Ethics Committee, Xiangya Hospital, Central South University]","['ORG', 'ORG', 'ORG', 'ORG']","[71, 255, 275, 293]","[95, 271, 291, 317]",True
PMC8119626,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8119626\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Institutional Review Board Ethics Committee. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.,[Institutional Review Board Ethics Committee],['ORG'],[71],[114],True
PMC8119993,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8119993\sections\1_body\6_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study.,[],[],[],[],True
PMC8126616,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8126616\sections\1_body\5_ethics_statement\1_p.xml,Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],True
PMC8129492,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8129492\sections\1_body\7_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ludwig Maximilians University Munich (227-15). The patients/participants provided their written informed consent to participate in this study.,"[Ludwig Maximilians University Munich, 227]","['ORG', 'CARDINAL']","[71, 109]","[107, 112]",True
PMC8129497,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8129497\sections\1_body\7_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The ethics committee of Seirei Hamamatsu General Hospital. The patients/participants provided their written informed consent to participate in this study.,[Seirei Hamamatsu General Hospital],['ORG'],[95],[128],True
PMC8129560,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8129560\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Local ethics committee Goethe University. The patients/participants provided their written informed consent to participate in this study.,[Goethe University],['ORG'],[94],[111],True
PMC8131528,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8131528\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Medical Ethics Committee of Xiangya Hospital Central South University. The patients/participants provided in review their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[the Medical Ethics Committee, Xiangya Hospital Central South University]","['ORG', 'ORG']","[71, 103]","[99, 144]",True
PMC8131665,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8131665\sections\1_body\4_ethics_statement\1_p.xml,The animal study was reviewed and approved by Beijing Academy of Agriculture and Forestry Sciences.,[Beijing Academy of Agriculture and Forestry Sciences],['ORG'],[46],[98],False
PMC8131682,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8131682\sections\1_body\6_ethics_statement\1_p.xml,"Written informed consent was obtained from the individual (s), and minor (s)' legal guardian/next of kin, for the publication of any potentially identifiable images or data included in this article.",[],[],[],[],True
PMC8131864,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8131864\sections\1_body\7_ethics_statement\1_p.xml,The animal study was reviewed and approved by Ethics Committee of First Affiliated Hospital of Dalian Medical University.,"[Ethics Committee, Dalian Medical University]","['ORG', 'ORG']","[46, 95]","[62, 120]",False
PMC8131950,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8131950\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by Laval University Animal Care Committee.,[Laval University Animal Care Committee],['ORG'],[46],[84],False
PMC8134681,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8134681\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by CHFU Ethics Committee. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin. Written informed consent was obtained from the minor(s)' legal guardian/next of kin for the publication of any potentially identifiable images or data included in this article.,[CHFU Ethics Committee],['ORG'],[71],[92],True
PMC8138036,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8138036\sections\1_body\7_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by This Study was conducted after obtaining the approval of the Institutional Review Board at the Jordan University of Science and Technology. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[the Institutional Review Board, the Jordan University of Science and Technology]","['ORG', 'ORG']","[128, 162]","[158, 209]",True
PMC8138428,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8138428\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Tangdu hospital ethics committee. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[Tangdu],['GPE'],[71],[77],True
PMC8141585,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8141585\sections\1_body\6_ethics_statement\1_p.xml,The study involving human participants was reviewed and approved by the Ethics Committee of the Academic College at Wingate. Written informed consent was not provided because this was an online study. Participants filled an electronic informed consent as was approved by the Ethics Committee and as written in the manuscript.,"[the Ethics Committee of the Academic College, the Ethics Committee]","['ORG', 'ORG']","[68, 271]","[112, 291]",True
PMC8141860,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8141860\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Instituto Investigación Sanitaria Gregorio Marañón. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin. Written informed consent was obtained from the minor(s)' legal guardian/next of kin for the publication of any potentially identifiable images or data included in this article.,"[Instituto Investigación Sanitaria, Gregorio Marañón]","['ORG', 'PERSON']","[71, 105]","[104, 121]",True
PMC8144287,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8144287\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of King Fahd Armed Forces Hospital. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,[Ethics Committee of King Fahd Armed Forces Hospital],['ORG'],[71],[122],True
PMC8144291,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8144291\sections\1_body\4_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patient/participant of this study provided her written informed consent for the analysis and publication of any her potentially identifiable images or data.,[],[],[],[],True
PMC8144523,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8144523\sections\1_body\5_ethics_statement\1_p.xml,Studies involving human participants were reviewed and approved by the Ethics Committee of the First Affiliated Hospital of Zhengzhou University of Henan Province. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[the Ethics Committee, the First Affiliated Hospital of Zhengzhou University of Henan Province]","['ORG', 'ORG']","[67, 91]","[87, 162]",True
PMC8149731,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8149731\sections\1_body\4_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],True
PMC8149743,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8149743\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The Institutional Ethics Committee of the First Affiliated Hospital of Zhejiang University School of Medicine. The patients/participants provided their written informed consent to participate in this study.,"[The Institutional Ethics Committee, the First Affiliated Hospital of Zhejiang University School of Medicine]","['ORG', 'ORG']","[71, 109]","[105, 180]",True
PMC8155348,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8155348\sections\2_back\2_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by National Institute for Infectious Diseases, Lazzaro Spallanzani, IRCCS, Rome, Italy. The patients/participants provided their written informed consent to participate in this study.","[National Institute for Infectious Diseases, Lazzaro Spallanzani, IRCCS, Rome, Italy]","['ORG', 'PERSON', 'GPE', 'GPE', 'GPE']","[71, 115, 136, 143, 149]","[113, 134, 141, 147, 154]",True
