,file,parsed,entities,labels,position_start,position_end
PMC8019941,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8019941\sections\1_body\6_ethics_statement\1_p.xml,The study involving clinical outcome of human participants was reviewed and approved by Institutional Review Board. The patients/participants provided their written informed consent before treatment.,[Institutional Review Board],['ORG'],[88],[114]
PMC8021916,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8021916\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by The Institutional Review Board of the Songeui Campus, The Catholic University of Korea. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.","[The Institutional Review Board, The Catholic University of Korea]","['ORG', 'ORG']","[71, 125]","[101, 157]"
PMC8044745,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8044745\sections\1_body\6_ethics_statement\1_p.xml,We used an established protocol for collection of extracted teeth in our biorepository and cell isolation that was approved by the Ethics Committee of UT Health San Antonio.,[the Ethics Committee of UT Health San Antonio],['ORG'],[127],[172]
PMC8071850,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8071850\sections\1_body\6_ethics_statement\1_p.xml,"The animal study was reviewed and approved by this research was approved by Research Ethics Committee of the Federal University of Goiás (CEP/UFG, protocol no. 2.269.572) and by the Ethics Commission for the Use of Animals of the São Paulo State University Júlio de Mesquita Filho (CEUA/UNESP, protocol no. 0004/2017).","[Research Ethics Committee, the Federal University of Goiás, the Ethics Commission, CEUA/UNESP]","['ORG', 'ORG', 'ORG', 'ORG']","[76, 105, 178, 282]","[101, 136, 199, 292]"
PMC8075349,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8075349\sections\1_body\6_ethics_statement\1_p.xml,"The parents gave their written informed consent for the treatment and analysis of clinical data. Ethical approval was waived by the local Ethics Committee of Wroclaw Medical University in view of the retrospective nature of the study, and all procedures being performed were part of routine care.",[Ethics Committee of Wroclaw Medical University],['ORG'],[138],[184]
PMC8092438,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8092438\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Ethics committee “Catania 2”, ARNAS Garibaldi, Catania, P.zza S. M. di Gesù n. 5. The patients/participants provided their written informed consent to participate in this study.","[Ethics, Catania 2, ARNAS Garibaldi, Catania, S. M. di Gesù, 5]","['ORG', 'WORK_OF_ART', 'PERSON', 'GPE', 'PERSON', 'CARDINAL']","[71, 89, 101, 118, 133, 150]","[77, 98, 116, 125, 146, 151]"
PMC8101326,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8101326\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Beijing Friendship Hospital Ethics Committee. The patients/participants provided their written informed consent to participate in this study.,[Beijing Friendship Hospital Ethics Committee],['ORG'],[71],[115]
PMC8136432,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8136432\sections\1_body\6_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study.,[],[],[],[]
PMC8138425,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8138425\sections\1_body\6_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Medisch Ethisch Toetsingscommissie Leiden-Den Haag-Delft, Leiden University Medical Center. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin.","[Medisch Ethisch Toetsingscommissie Leiden-Den Haag-Delft, Leiden University Medical Center]","['PERSON', 'ORG']","[71, 129]","[127, 161]"
PMC8149898,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8149898\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Hospital Ethics Committee of the International Peace Maternity Child Health Hospital of China Welfare Institute (IPMCH). The patients/participants provided their written informed consent to participate in this study.,[the Hospital Ethics Committee],['ORG'],[71],[100]
PMC8175661,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8175661\sections\1_body\5_ethics_statement\1_p.xml,Approval for hESC work was obtained from the ISCIII-Comisión Nacional de Garantías (0336E/14973/2017).,[],[],[],[]
PMC8176860,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8176860\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics committee of First People’s Hospital of Huzhou. The patients/participants provided their written informed consent to participate in this study.,"[Ethics, First People’s Hospital, Huzhou]","['ORG', 'ORG', 'GPE']","[71, 91, 118]","[77, 114, 124]"
PMC8180599,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8180599\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by IRAS. The ethics committee waived the requirement of written informed consent for participation.,[],[],[],[]
PMC8183571,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_20\PMC8183571\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Huadong hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Animal Ethics and Experimental Safety of the Fudan University.,"[Ethics Committee, Animal Ethics and Experimental Safety of the Fudan University]","['ORG', 'ORG']","[71, 255]","[87, 316]"
