,file_path,paragraph,sentence,entities,labels,position_start,position_end,has_terms,weight
15,C:\Users\shweata\ethics_statement_corpus_1000\PMC7250441\sections\1_body\1_patients_and_methods\1_patients\1_p.xml,"This was a multicenter cross-sectional observational study conducted by the Osaka Gut Forum comprising 20 institutions in Japan. From November 2013 to August 2014, a total of 1078 IBD patients were enrolled in the present study, including 303 CD patients and 775 UC patients. All patients were Japanese and data were collected from survey forms provided to doctors and questionnaires provided to patients. The patient characteristics are shown in  Table 1, and the number of patients included for each analysis in this study is shown in  Fig 1. The study protocol was approved by the ethics committee of Osaka University Hospital, the ethics committee of National Hospital Organization Osaka National Hospital, the ethics committee of Kinshukai Infusion Clinic, the ethics committee of Osaka Rosai Hospital, the ethics committee of NTT-West Osaka Hospital, the ethics committee of Sumitomo Hospital, the ethics committee of Toyonaka Municipal Hospital, the ethics committee of Otemae Hospital, the ethics committee of Sakai City Medical Center, the ethics committee of Itami City Hospital, the ethics committee of Nishinomiya Municipal Central Hospital, the ethics committee of Hyogo Prefectural Nishinomiya Hospital, the ethics committee of Osaka Police Hospital, the ethics committee of Yao Municipal Hospital, the ethics committee of National Hospital Organization Osaka-minami National Hospital, and the ethics committee of Higashiosaka City Medical Center. The written informed consent was waived by the ethics committees by giving the participants the opportunity to opt out.","The study protocol was approved by the ethics committee of Osaka University Hospital, the ethics committee of National Hospital Organization Osaka National Hospital, the ethics committee of Kinshukai Infusion Clinic, the ethics committee of Osaka Rosai Hospital, the ethics committee of NTT-West Osaka Hospital, the ethics committee of Sumitomo Hospital, the ethics committee of Toyonaka Municipal Hospital, the ethics committee of Otemae Hospital, the ethics committee of Sakai City Medical Center, the ethics committee of Itami City Hospital, the ethics committee of Nishinomiya Municipal Central Hospital, the ethics committee of Hyogo Prefectural Nishinomiya Hospital, the ethics committee of Osaka Police Hospital, the ethics committee of Yao Municipal Hospital, the ethics committee of National Hospital Organization Osaka-minami National Hospital, and the ethics committee of Higashiosaka City Medical Center.","Osaka University Hospital, National Hospital Organization Osaka National Hospital, Kinshukai Infusion Clinic, Osaka Rosai Hospital, NTT-West Osaka Hospital, Sumitomo Hospital, Toyonaka Municipal Hospital, Otemae Hospital, Sakai City Medical Center, Itami City Hospital, Nishinomiya Municipal Central Hospital, Hyogo Prefectural Nishinomiya Hospital, Osaka Police Hospital, Yao Municipal Hospital, National Hospital Organization, Osaka-minami National Hospital, Higashiosaka City Medical Center","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG","59, 110, 190, 241, 287, 336, 379, 432, 473, 524, 569, 633, 697, 744, 792, 823, 883","84, 164, 215, 261, 310, 353, 406, 447, 498, 543, 607, 671, 718, 766, 822, 853, 915",ethics committee of ,1
108,C:\Users\shweata\ethics_statement_corpus_1000\PMC7458281\sections\1_body\1_methods\3_ethics\1_p.xml,The evaluation of the STR is fully covered by a study protocol approved by the National Research Ethics Committee of Bangladesh Medical Research Council and the Institutional Review Board of the Institute of Tropical Medicine Antwerp. All patients completed and signed an informed consent form in the local language before starting treatment.,The evaluation of the STR is fully covered by a study protocol approved by the National Research Ethics Committee of Bangladesh Medical Research Council and the Institutional Review Board of the Institute of Tropical Medicine Antwerp.,"STR, the National Research Ethics Committee of Bangladesh Medical Research Council, the Institutional Review Board, the Institute of Tropical Medicine Antwerp","ORG, ORG, ORG, ORG","22, 75, 157, 191","25, 152, 187, 233","ethics committee of , institutional review board of ",2
133,C:\Users\shweata\ethics_statement_corpus_1000\PMC7458309\sections\1_body\1_materials_and_methods\1_ethics_statement\1_p.xml,Patients included in this study participated in two studies involving GCA patients (Clinicaltrials.gov NCT02158208 and NCT02857192) and gave both oral and written informed consent for the use of their temporal arteries for subsequent research in the field of GCA. This study was approved by the Institutional Review Board and the Ethics Committee of the Dijon University Hospital.,This study was approved by the Institutional Review Board and the Ethics Committee of the Dijon University Hospital.,"the Institutional Review Board, the Ethics Committee, the Dijon University Hospital","ORG, ORG, ORG","27, 62, 86","57, 82, 115",ethics committee of ,1
884,C:\Users\shweata\ethics_statement_corpus_1000\PMC7714128\sections\1_body\1_methods\3_ethics\1_p.xml,"The human research ethics committee of the Royal Brisbane and Women’s Hospital, Queensland approved the study (HREC/15/QRBW/476). All data were fully anonymized before evaluation.","The human research ethics committee of the Royal Brisbane and Women’s Hospital, Queensland approved the study (HREC/15/QRBW/476).","the Royal Brisbane and Women’s Hospital, Queensland","ORG, GPE","39, 80","78, 90",ethics committee of ,1
921,C:\Users\shweata\ethics_statement_corpus_1000\PMC7716305\sections\1_body\2_materials_and_methods\1_participants\1_p.xml,A total of 44 pregnant women with GDM and GH were selected as an observation group from January 2017 to December 2018. Another 44 healthy pregnant women were selected as a control group. Eligibility criteria 11- 13 for participants included: participants in the observation group were diagnosed with GDM and GH in accordance with diagnostic code; the present study was approved by the ethics committee of our hospital; patient adherence to therapy was high and therefore the subsequent research was conducted successfully; and no other diseases occurred influencing the development of the study. Patients with immune disorders or mental illness and patients who used drugs that affect lipid metabolism recently were considered ineligible. The average age was 28 to 39 years (34.5 ± 1.8) in the observation group and 27 to 36 years (33.2 ± 1.9) in the control group. There was no significant difference in patient information between the two groups ( P > 0.05). ,Eligibility criteria 11- 13 for participants included: participants in the observation group were diagnosed with GDM and GH in accordance with diagnostic code; the present study was approved by the ethics committee of our hospital; patient adherence to therapy was high and therefore the subsequent research was conducted successfully; and no other diseases occurred influencing the development of the study.,"GDM, GH","ORG, ORG","115, 123","118, 125",ethics committee of ,1
1132,C:\Users\shweata\ethics_statement_corpus_1000\PMC7722414\sections\1_body\1_methods\1_research_design\1_p.xml,A qualitative descriptive approach was used to explore mothers’ experiences of using BLW to introduce their infants to complementary foods. A qualitative descriptive approach provides “… a comprehensive summary of events in the everyday terms of those events”  16. It allows researchers to stay close to the data  16. Ethical approval for this study was gained from the Ethics Committee of the Nursing Faculty at Universitas Indonesia (No. 29/UN2.F12.D/HKP.02.04/2019).,Ethical approval for this study was gained from the Ethics Committee of the Nursing Faculty at Universitas Indonesia (No.,"the Ethics Committee, the Nursing Faculty, Indonesia","ORG, ORG, GPE","48, 72, 107","68, 91, 116",ethics committee of ,1
1315,C:\Users\shweata\ethics_statement_corpus_1000\PMC7723705\sections\1_body\2_materials_and_methods\1_study_subjects\1_p.xml,"We prospectively studied 34 foetuses with prenatally identified isolated SUA with gestational age of 28-39 wk and 34 gestational age-matched healthy foetuses from the Gansu Provincial Maternity and Child-care Hospital between July 2017 and December 2018. The study protocol was approved by the Medical Ethics Committee of Gansu Provincial Maternity and Child-care Hospital ethics committee (No. 2017-04), and the pregnant mothers provided their written informed consent. We excluded pregnant mothers with multiple gestations, pregnancies presenting associated foetal anomalies, including structural abnormalities, congenital heart disease and abnormal karyotype and pregnant mothers with conditions that may affect foetal haemodynamics, such as maternal diabetes, pre-eclampsia, preterm labour or endocrinological disorders such as thyroid disease.",The study protocol was approved by the Medical Ethics Committee of Gansu Provincial Maternity and Child-care Hospital ethics committee (No.,"the Medical Ethics Committee of Gansu Provincial Maternity, Child-care Hospital","ORG, ORG","35, 98","93, 117",ethics committee of ,1
1416,C:\Users\shweata\ethics_statement_corpus_1000\PMC7739165\sections\1_body\2_materials_and_methods\1_study_design\1_p.xml,This study was designed prospectively and approved by the Ethics Committee of Shanghai First People’s Hospital. Written informed consent was obtained from every patient before US examination.,This study was designed prospectively and approved by the Ethics Committee of Shanghai First People’s Hospital.,the Ethics Committee of Shanghai First People’s Hospital,ORG,54,110,ethics committee of ,1
1822,C:\Users\shweata\ethics_statement_corpus_1000\PMC7754553\sections\1_body\2_materials_and_methods\1_patients\1_p.xml,"We consecutively recruited IBD patients referred to our outpatient tertiary Gastroenterology Unit (University Hospital Policlinico, Bari, Italy) in the period October 2016-October 2017. We only excluded patients aging < 18, doubtful IBD diagnosis and those who refused to participate in the study. Outpatients with functional gastrointestinal disorders constituted the control group. The study was approved by the independent Ethics Committee of the Policlinico di Bari (protocol No. 4862) and was performed according to the Helsinki declaration 1975 statements.",The study was approved by the independent Ethics Committee of the Policlinico di Bari (protocol No.,"Ethics Committee, Policlinico","ORG, GPE","42, 66","58, 77",ethics committee of ,1
2013,C:\Users\shweata\ethics_statement_corpus_1000\PMC7771868\sections\1_body\1_materials_and_methods\1_patients\1_p.xml,"This study was conducted as a retrospective review to evaluate the safety and efficacy of GSL therapy in patients with advanced or metastatic pancreatic cancer at three medical centers in Taiwan: China Medical University Hospital, National Cheng Kung University Hospital, and Kaohsiung Medical University Hospital. Patients’ medical records between May 2015 and March 2019 were accessed. All data were fully anonymized before the review process. This retrospective study was approved by the Ethics Committee of the China Medical University and Hospital (CMUH107-REC1-140).",This retrospective study was approved by the Ethics Committee of the China Medical University and Hospital (CMUH107-REC1-140).,"the Ethics Committee, the China Medical University and Hospital","ORG, ORG","41, 65","61, 106",ethics committee of ,1
2117,C:\Users\shweata\ethics_statement_corpus_1000\PMC7781578\sections\1_body\1_methods\5_virulence_phenotype_detec\1_p.xml,"Male C57BL/6 J mice (6–8 weeks old) were obtained from the Institute of Laboratory Animal Sciences, Chinese Academy of Medical Sciences (Beijing, China). All research animals were used in compliance with the guidelines of Institutional Animal Care and Use Committee of Capital Medical University.",All research animals were used in compliance with the guidelines of Institutional Animal Care and Use Committee of Capital Medical University.,Institutional Animal Care and Use Committee of Capital Medical University,ORG,68,141,"animal care and use committee of , institutional animal care and use committee of ",2
2190,C:\Users\shweata\ethics_statement_corpus_1000\PMC7782463\sections\1_body\1_material_and_methods\1_ethical_approval\1_p.xml,"The ethical boards of all participating institutions, which are the university hospitals of the cities of Cologne, Essen, and Münster, approved the present study, reference number: 2014-658-f-N (ethics committee of the Medical Association of Westfalen-Lippe and the Westphalian Wilhelms University).","The ethical boards of all participating institutions, which are the university hospitals of the cities of Cologne, Essen, and Münster, approved the present study, reference number: 2014-658-f-N (ethics committee of the Medical Association of Westfalen-Lippe and the Westphalian Wilhelms University).","Cologne, the Medical Association of Westfalen-Lippe, the Westphalian Wilhelms University","GPE, ORG, ORG","106, 215, 262","113, 257, 297",ethics committee of ,1
2433,C:\Users\shweata\ethics_statement_corpus_1000\PMC7791848\sections\1_body\1_methods\4_ethical_considerations\1_p.xml,"This study obtained ethical approval from the Research Ethics Committee of the Faculty of Nursing, Universitas Syiah Kuala, Banda Aceh, Indonesia. Participants had the right to refuse to be involved at any time. They knew the research objective and that their personal identity was kept confidential.","This study obtained ethical approval from the Research Ethics Committee of the Faculty of Nursing, Universitas Syiah Kuala, Banda Aceh, Indonesia.","the Research Ethics Committee, Universitas, Kuala, Banda Aceh, Indonesia","ORG, GPE, GPE, GPE, GPE","42, 99, 117, 124, 136","71, 110, 122, 134, 145",ethics committee of ,1
2596,C:\Users\shweata\ethics_statement_corpus_1000\PMC7795744\sections\1_body\1_2__material_and_methods\4_2_4__data_collection\1_p.xml,"The study was conducted in accordance with the Declaration of Helsinki and was approved by the Institutional Review Board of Chung-Ang University Hospital (1041078-201803). The authors ensured that participants understood the purpose and procedure of this study and explained that they could withdraw at any time if they no longer wished to participate. All participants completed a written informed consent form voluntarily as well as a general characteristics questionnaire, and responded to the study instruments twice, once at the start of the first session and again at the end of the final session.",The study was conducted in accordance with the Declaration of Helsinki and was approved by the Institutional Review Board of Chung-Ang University Hospital (1041078-201803).,"the Institutional Review Board, Chung-Ang University Hospital","ORG, ORG","91, 125","121, 154",institutional review board of ,1
2647,C:\Users\shweata\ethics_statement_corpus_1000\PMC7796041\sections\1_body\1_2__methods\1_2_1__patient_selection\1_p.xml,"All patients with COVID-19 who had been hospitalized at the participating centers were included in this registry from 5 March to 17 June 2020. Only patients with a complete documentation of the clinical stay (i.e., discharged from the respective center or deceased) were considered. Further inclusion criteria were a confirmation of SARS-CoV-2 infection by polymerase chain reaction testing of a nasopharyngeal sample and a duration of hospital stay for ≥ 24 h. In total, 166 patients with were included in this registry. In the majority of patients, COVID-19 was the reason for hospitalization. A subgroup of nine patients had been admitted for different indications and SARS-CoV-2-infection was diagnosed and treated in the course of the hospital stay. The study was conducted in accordance with the Declaration of Helsinki and approved by the ethics committee of the University of Heidelberg (study registration number at the ethics committee: S-281/2020). Due to the retrospective, non-interventional nature of the study based solely on data generated and documented during clinical routine processes, informed and written consent was not required in accordance with the statement of the local ethics committee.",The study was conducted in accordance with the Declaration of Helsinki and approved by the ethics committee of the University of Heidelberg (study registration number at the ethics committee: S-281/2020).,the University of Heidelberg,ORG,111,139,ethics committee of ,1
2807,C:\Users\shweata\ethics_statement_corpus_1000\PMC7801106\sections\1_body\1_materials_and_methods\1_p.xml,"The study was performed in accordance with the Declaration of Helsinki and was approved by the ethics committee of the First Affiliated Hospital, Sun Yat-sen University (Number: 201117) Written informed consent was obtained from their parents and control subjects. Clinical and pathological data were collected from the patients and their family members. Blood samples of the patients and their family members were collected.","The study was performed in accordance with the Declaration of Helsinki and was approved by the ethics committee of the First Affiliated Hospital, Sun Yat-sen University (Number: 201117) Written informed consent was obtained from their parents and control subjects.",the First Affiliated Hospital,ORG,115,144,ethics committee of ,1
2905,C:\Users\shweata\ethics_statement_corpus_1000\PMC7801108\sections\1_body\1_materials_and_methods\7_statement_of_ethics\1_p.xml,The research was conducted ethically in accordance with the World Medical Association Declaration of Helsinki. The study was approved by the local ethics committee of the Wroclaw Medical University (approval number: KB-775/2018). All patients approved the Informed Consent Form.,The study was approved by the local ethics committee of the Wroclaw Medical University (approval number: KB-775/2018).,the Wroclaw Medical University,ORG,56,86,ethics committee of ,1
2918,C:\Users\shweata\ethics_statement_corpus_1000\PMC7801108\sections\1_body\4_ethical_approval\1_p.xml,The study was approved by the local ethics committee of the Wroclaw Medical University (approval number: KB-775/2018). The research was conducted ethically in accordance with the World Medical Association Declaration of Helsinki.,The study was approved by the local ethics committee of the Wroclaw Medical University (approval number: KB-775/2018).,the Wroclaw Medical University,ORG,56,86,ethics committee of ,1
