,parsed,has_terms,weight,sentences,entities,labels,position_start,position_end,sentence_has_terms
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7469313\sections\1_body\1_materials_and_methods\1_ethical_approval_and_cons\1_p.xml,"Ethical approval for the study was obtained from the Biosafety, Animal Use and Ethics committee of the University of Nairobi (Ref: FVM BAUEC/2019/210). Approval was additionally sought from regional administrators (the area chief and assistant chief) who were duly notified of the study’s objectives. The scope, possible benefits, and risks of the study were explained to willing participants (herbalists) and consent forms were made available to them for signing.",['Ethics committee of'],1,"['Ethical approval for the study was obtained from the Biosafety, Animal Use and Ethics committee of the University of Nairobi (Ref: FVM BAUEC/2019/210).']","[[Ethics, the University of Nairobi]]","[['ORG', 'ORG']]","[[79, 99]]","[[85, 124]]",[['Ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7469313\sections\2_back\7_notes.xml," Ethics approval and consent to participate  Ethical approval for the study was obtained from the Biosafety, Animal Use and Ethics committee of the University of Nairobi (Ref: FVM BAUEC/2019/210). Approval was additionally sought from regional administrators (the area chief and assistant chief) who were also duly made aware of the study’s objectives. The scope, possible benefits and risks of the study were explained to all willing participants (practitioners of traditional medicine) and consent forms were made available to them for signing. ",['Ethics committee of'],1,"['Ethics approval and consent to participate  Ethical approval for the study was obtained from the Biosafety, Animal Use and Ethics committee of the University of Nairobi (Ref: FVM BAUEC/2019/210).']","[[Ethics, the University of Nairobi]]","[['ORG', 'ORG']]","[[123, 143]]","[[129, 168]]",[['Ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7480431\sections\1_body\12_s0012\251_p.xml, Methods : Human lung stem cells (LSCs) were generated and expanded from healthy whole lung donors. LSC-exosomes were purified via ultrafiltration and DiI-labelled using Vybrant☐ labelling solution according to the manufacturer’s instructions. DsRed-labelled liposomes were generated using Lipofectamine™ RNAiMAX Transfection Reagent and BLOCK-iT™ Alexa Fluor™ Red Fluorescent Control according to the manufacturer’s instructions. LSC-exosomes and liposomes were delivered via nebulization to CD1 mice with bleomycin-induced pulmonary fibrosis. Exosome and liposome delivery and biodistribution were visualized 4- and 24-hours post-treatment through histological analysis. The study was approved by the Institutional Animal Care and Use Committee of North Carolina State University and complied with all national and state ethical standards.,"['Institutional Animal Care and Use Committee of', 'Animal Care and Use Committee of']",2,['The study was approved by the Institutional Animal Care and Use Committee of North Carolina State University and complied with all national and state ethical standards.'],[[the Institutional Animal Care and Use Committee of North Carolina State University]],[['ORG']],[[26]],[[108]],"[['Institutional Animal Care and Use Committee of', 'Animal Care and Use Committee of']]"
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7480431\sections\1_body\12_s0012\2933_p.xml," Methods : For this purpose, male Wistar rats were submitted to 10 minutes of global brain ischaemia and divided into two groups: a) sham-operated animals and b) saline-treated ischaemic animals. All animals were allowed to survive for seven days. All procedures were approved by the ethics committee of the Federal University of São Paulo (2018/7633081117). Transmission and scanning electron microscopic analysis of lateral brain ventricles were done in buffered 2,5% glutaraldehyde/2%formaldehyde perfused brains. Cerebrospinal fluid was collected for NTA analysis.",['ethics committee of'],1,['All procedures were approved by the ethics committee of the Federal University of São Paulo (2018/7633081117).'],[[the Federal University of São Paulo]],[['ORG']],[[56]],[[91]],[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7480431\sections\1_body\12_s0012\3529_p.xml," Methods : Human plasma sEVs were separated from healthy cognitive control (ctrl), Mild Cognitive Impairment (MCI) and demented subjects. The sEVs-containing pellet was resuspended in 4% paraformaldehyde or 2% glutaraldehyde solutions. For SIM, sEVs-enriched preparations were washed with the blocking solution and incubated with the primary antibody (L1CAM). The secondary fluolabelled antibody was then added. Between the steps with the blocking solution, the primary and secondary antibodies, two ultracentrifuge steps were performed. The image acquisition was done on a Nikon SIM system with a 100x oil immersion objective. sEVs were imaged with a 3D-SIM acquisition protocol. TEM was performed on 300 mesh formvar copper-coated grids. sEVs-enriched preparations were incubated first with the blocking solution and then, immunogold-labelled for CD63. Samples were counterstained with uranyl acetate and observed under a Jeol 1010 EX electron microscope. Data were recorded with a MORADA digital camera system. Participation to the present study was approved by relevant local ethics committee of Mendrisio and Lugano Hospital and written informed consents were obtained from subjects.",['ethics committee of'],1,['Participation to the present study was approved by relevant local ethics committee of Mendrisio and Lugano Hospital and written informed consents were obtained from subjects.'],[[Mendrisio and Lugano Hospital]],[['ORG']],[[86]],[[115]],[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7480431\sections\1_body\12_s0012\991_p.xml," Methods : To study if the content of circulating EVs might reflect molecular changes locally, LCN2 levels were determined by RT-qPCR in femoral atherosclerotic plaques (n = 5) and in medium/large EVs released from femoral plaques into cell culture medium ex vivo (n = 5). EVs were isolated by centrifugation (2x20000xg) and characterized by NTA, TEM, and western blot. The study was approved by the Institutional Review Board of Complejo Hospitalario de Navarra (ref. 30/10), according to the Declaration of Helsinki on medical research. Written informed consent was obtained from all patients.",['Institutional Review Board of'],1,['The study was approved by the Institutional Review Board of Complejo Hospitalario de Navarra (ref.'],"[[the Institutional Review Board, Complejo Hospitalario de Navarra]]","[['ORG', 'ORG']]","[[26, 60]]","[[56, 92]]",[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7481941\sections\1_body\1_2__materials_and_methods\4_2_3__cell_morphology__cel\1_p.xml,"After treatment with H  2 O  2  and ethanol, cell morphology, cell viability, and flow cytometry were assessed to see the effect of the chemical substances. Ethical approval was obtained from the Ethical Committee of the Faculty of Medicine Universitas Indonesia/Cipto Mangunkusumo General Hospital.",['Ethical Committee of'],1,['Ethical approval was obtained from the Ethical Committee of the Faculty of Medicine Universitas Indonesia/Cipto Mangunkusumo General Hospital.'],"[[the Ethical Committee of, Indonesia, Cipto Mangunkusumo General Hospital]]","[['ORG', 'GPE', 'ORG']]","[[35, 96, 106]]","[[59, 105, 141]]",[['Ethical Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7488347\sections\1_body\1_methods\1_patients\1_p.xml,"The study was conducted on six pediatric β-thalassemia patients with IVS-1-110 mutation. The patients’ custodians accepted to participate in the current study by signing a written consent. Patients were selected from Hematology Clinic of Abul-Reesh Mounira Children’s Hospitals, Cairo University, Cairo, Egypt. They were diagnosed as β-thalassemia by routine work-up and history including age, consanguinity, and blood transfusion. The research was approved by the ethical committee of the Clinical Pathology and the Pediatrics Departments, Kasr Alainy Hospitals, Cairo University.",['ethical committee of'],1,"['The research was approved by the ethical committee of the Clinical Pathology and the Pediatrics Departments, Kasr Alainy Hospitals, Cairo University.']","[[the Clinical Pathology, the Pediatrics Departments, Kasr Alainy Hospitals, Cairo University]]","[['ORG', 'ORG', 'ORG', 'ORG']]","[[54, 81, 109, 132]]","[[76, 107, 130, 148]]",[['ethical committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7488347\sections\2_back\6_notes.xml," Ethics approval and consent to participate  The research was approved by the ethical committee of the Clinical Pathology and the Pediatrics departments, Kasr Alainy Hospitals, Cairo University. The patients’ custodians accepted to participate in the current study by signing a written consent. ",['ethical committee of'],1,"['The research was approved by the ethical committee of the Clinical Pathology and the Pediatrics departments, Kasr Alainy Hospitals, Cairo University.']","[[the Clinical Pathology, Pediatrics, Kasr Alainy Hospitals, Cairo University]]","[['ORG', 'ORG', 'ORG', 'ORG']]","[[54, 85, 109, 132]]","[[76, 95, 130, 148]]",[['ethical committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7493914\sections\1_body\3_materials_and_methods\1_ethics\1_p.xml,"All experiments were approved by the local Institutional Review Board of Tokyo Medical and Dental University (No. G2017-005) and all study participants provided written informed consent for use of their materials in research. Visceral fat, subcutaneous fat, amnion, chorion, villus, and umbilical cord tissues were obtained from donors during nephrectomy and caesarean section at Tokyo Medical and Dental University Hospital. All experiments were performed in accordance with relevant guidelines and regulations.",['Institutional Review Board of'],1,['All experiments were approved by the local Institutional Review Board of Tokyo Medical and Dental University (No. G2017-005) and all study participants provided written informed consent for use of their materials in research.'],[[Institutional Review Board]],[['ORG']],[[43]],[[69]],[['Institutional Review Board of']]
