,parsed,has_terms,weight,sentences,entities,labels,position_start,position_end,sentence_has_terms
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7806999\sections\1_body\3_materials_and_methods\1_animals\1_p.xml,"Experiments were performed using transgenic zebrafish aged 6–10 months, from the Proliferating Cell Nuclear Antigen (PCNA) reporter line Tg(PCNA:GFP). Animals were sacrificed by an overdose of Tricaine (0.4%) diluted in ice-cold facility water and brains processed for   immuno -Correlative Light and Electron Microscopy (  i CLEM). All animal experiments were assessed and approved by the Monash University Animal Ethics Committee and were conducted under applicable Australian laws governing the care and use of animals for scientific research.","['approved by', 'Animal Ethics Committee', 'Ethics Committee']",3,['All animal experiments were assessed and approved by the Monash University Animal Ethics Committee and were conducted under applicable Australian laws governing the care and use of animals for scientific research.'],[[the Monash University Animal Ethics Committee]],[['ORG']],[[53]],[[98]],"[['approved by', 'Animal Ethics Committee', 'Ethics Committee']]"
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7834095\sections\1_body\1_methods\1_cell_isolation_and_cultur\2_p.xml,"Primary cells from AML patients were obtained from leukapheresis at diagnosis. All patients provided their written informed consent as to the use of their biological material for research purposes, in accordance with the Helsinki Declaration. The project was approved by the Ethics Committee of the Institute of Hematology, and all experiments were performed in accordance with relevant guidelines and regulations. The leukapheretic products were diluted 20-fold in phosphate-buffered saline (PBS) and the mononuclear cell fraction was then separated using Histopaque-1077 (Sigma, #H8889). Analysis by flow cytometry (CD45/SSC dotplots) confirmed a high prevalence of leukemia blasts in mononuclear cell samples.","['written informed consent', 'informed consent', 'approved by', 'Ethics Committee']",4,"['All patients provided their written informed consent as to the use of their biological material for research purposes, in accordance with the Helsinki Declaration.', 'The project was approved by the Ethics Committee of the Institute of Hematology, and all experiments were performed in accordance with relevant guidelines and regulations.']","[[], [the Ethics Committee of the Institute of Hematology]]","[[], ['ORG']]","[[], [28]]","[[], [79]]","[['written informed consent', 'informed consent'], ['approved by', 'Ethics Committee']]"
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7935125\sections\1_body\0_introduction\5_p.xml,"With diversified drug-loading capacity as well as enhanced permeability and retention (EPR) effect, nanoparticles (NPs) can better encapsulate hydrophobic drugs and realize co-delivery. Since gelatinase is abundantly and specifically existed in most tumors, we have synthesized gelatinase-stimuli NPs by inserting the gelatinase-cleavable peptide Pro-Val-Gly-Leu-Iso-Gly (PVGLIG) into the bonding between polyethylene glycol (mPEG) and polycaprolactone (PCL) segments (mPEG-Pep-PCL) (Li et al.,   2013 ). The copolymer that we used has been approved by FDA, which signifies the potential of the NPs for clinical application. When NPs were accumulated in tumors, the mPEG-peptide-PCL conjugates would be cleaved by gelatinase. The de-PEGylated NPs aggregate to form large particles and therefore able to be retained in tumor region. Also, aggregated particles enter tumor cells by endocytosis which may increase the cellular uptake and further improve the intracellular concentration of anticancer drugs. Hence, these ‘smart’ NPs possess passive tumor-targeting capacity through microenvironment stimuli strategies. In our previous study, we have proved that the NPs were capable of Sal delivery with high encapsulation efficacy and tumor targeting property.   In vivo  experiment demonstrated superior CCSCs inhibition effect by attenuating the EMT pathway and milder adverse events evidenced by no obvious pathological changes in the H and E staining of organs, body weight variations, and survival (Wang et al.,   2014 ,   2020 ).",['approved by'],1,"['The copolymer that we used has been approved by FDA, which signifies the potential of the NPs for clinical application.']",[[FDA]],[['ORG']],[[48]],[[51]],[['approved by']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7935125\sections\1_body\0_introduction\6_p.xml,"In this paper, based on our previous works, we constructed a co-delivery system loading with Sal and Doc by gelatinase-stimuli NPs. The combination of Sal and Doc not only sensitizes the antitumor effect of Doc, but also eliminates CCSCs and non-CCSCs in tumor tissues. The copolymer used to construct our NPs has been approved by FDA, indicating its translational value. The treatment of Sal-Doc NPs can minimize side effects and recurrence; meanwhile, it can maximize therapeutic efficacy (Scheme1). Therefore, our study highlights the potential of combined delivery of Sal and Doc with gelatinase-stimuli NPs to break through the limitation for transition to clinical application.",['approved by'],1,"['The copolymer used to construct our NPs has been approved by FDA, indicating its translational value.']",[[FDA]],[['ORG']],[[61]],[[64]],[['approved by']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7938600\sections\2_back\5_notes.xml, Declarations   Ethics approval and consent to participate  Not applicable.    Consent for publication  Not applicable.    Competing interests  The authors declare that they have no competing interests.  ,"['Ethics approval', 'consent to participate']",2,['Declarations   Ethics approval and consent to participate  Not applicable.'],[[]],[[]],[[]],[[]],"[['Ethics approval', 'consent to participate']]"
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7959708\sections\0_front\1_article-meta\15_abstract.xml," Strokes are the most common types of cerebrovascular disease and remain a major cause of death and disability worldwide. Cerebral ischemic stroke is caused by a reduction in blood flow to the brain. In this disease, two major zones of injury are identified: the lesion core, in which cells rapidly progress toward death, and the ischemic penumbra (surrounding the lesion core), which is defined as hypoperfusion tissue where cells may remain viable and can be repaired. Two methods that are approved by the Food and Drug Administration (FDA) include intravenous thrombolytic therapy and endovascular thrombectomy, however, the narrow therapeutic window poses a limitation, and therefore a low percentage of stroke patients actually receive these treatments. Developments in stem cell therapy have introduced renewed hope to patients with ischemic stroke due to its potential effect for reversing the neurological sequelae. Over the last few decades, animal tests and clinical trials have been used to treat ischemic stroke experimentally with various types of stem cells. However, several technical and ethical challenges must be overcome before stem cells can become a choice for the treatment of stroke. In this review, we summarize the mechanisms, processes, and challenges of using stem cells in stroke treatment. We also discuss new developing trends in this field. ",['approved by'],1,"['Two methods that are approved by the Food and Drug Administration (FDA) include intravenous thrombolytic therapy and endovascular thrombectomy, however, the narrow therapeutic window poses a limitation, and therefore a low percentage of stroke patients actually receive these treatments.']","[[the Food and Drug Administration, FDA]]","[['ORG', 'ORG']]","[[33, 67]]","[[65, 70]]",[['approved by']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7977190\sections\2_back\6_notes.xml," Declarations   Ethics approval and consent to participate  The individual has signed written informed consent for donating UCs in this study. The experiments involving human subject and animal research had been reviewed and approved by the Human or Animal Subjects Research Ethics Committee/IRB, Guangzhou Institutes of Biomedicine and Health (GIBH), Chinese Academy of Sciences.    Consent for publication  Not applicable.    Competing interests  The authors declare no conflict of interest.  ","['Ethics approval', 'consent to participate', 'written informed consent', 'informed consent', 'approved by', 'Ethics Committee']",6,"['Declarations   Ethics approval and consent to participate', 'The individual has signed written informed consent for donating UCs in this study.', 'The experiments involving human subject and animal research had been reviewed and approved by the Human or Animal Subjects Research Ethics Committee/IRB, Guangzhou Institutes of Biomedicine and Health (GIBH), Chinese Academy of Sciences.']","[[], [], [Animal Subjects Research Ethics Committee, Guangzhou, Chinese Academy of Sciences]]","[[], [], ['ORG', 'GPE', 'ORG']]","[[], [], [107, 154, 209]]","[[], [], [148, 163, 236]]","[['Ethics approval', 'consent to participate'], ['written informed consent', 'informed consent'], ['approved by', 'Ethics Committee']]"
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7984748\sections\1_body\1_state_of_art_of_nanotechn\13_p.xml,"The surgical procedures and some techniques currently used for ocular surgery are described below, which has been coming in for decades to benefit patients. Some of them are already used, and others are still in the experimental phase before they can be marketed or approved by bioethics committees and implemented. The progress has been classified according to the most used eye surgery.",['approved by'],1,"['Some of them are already used, and others are still in the experimental phase before they can be marketed or approved by bioethics committees and implemented.']",[[]],[[]],[[]],[[]],[['approved by']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7989865\sections\0_front\1_article-meta\13_abstract.xml," Donor selection and evaluation is crucial to hematopoietic stem cell transplantation. Evaluation of donor fundamentally assesses the risk of infectious disease transmission to the recipient and improves the quality of hematopoietic progenitors cell (HPC) product. It also minimizes the chances of adverse donor reactions during the donation process. Ideally, the donor evaluation should involve eliciting a detailed medical history, high-risk behavior, and psychosocial evaluation followed by a complete physical examination and a battery of investigation. Any abnormal finding would not necessarily lead to donor deferral but help the clinical team to closely access the risk versus benefit. It is mandatory to take informed written consent from all donors. Special considerations are taken in autologous patients and pediatric donors to obtain a good quality HPC product. A thorough review and evaluation of all vital organ function in the recipients should be completed to determine transplant eligibility. The disease status at the time of HSCT will help the physician determine the conditioning regimen to prescribe. Pre-transplant psychosocial risk factors are said to predict survival after HSCT. The hematopoietic cell transplant comorbidity index (HCT-CI) is a commonly used tool to score pre-transplant comorbidities that predict non-relapse mortality and survival. Patient and donor education is a vital part of care for HSCT patients, their families, and informal caregivers. Proper documentation of consents, procedures, and treatment plan should be done in compliance with regulatory guidelines. FACT-JACIE International Standards Accreditation covers clinical program related to cellular therapy. Accreditation requires trained, competent staff and a quality management plan, which includes policies and standard operating procedures for a cellular therapy program. ",['written consent'],1,['It is mandatory to take informed written consent from all donors.'],[[]],[[]],[[]],[[]],[['written consent']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7989865\sections\1_body\6_counseling_and_consent_\1_p.xml,"At the time of donor evaluation, an informed written consent on infectious disease testing, mobilization, the process of donation (PB stem cell apheresis or BM aspiration), and storing donor data should be secured. During counseling, patient/donor and their family members are oriented to the apheresis room and the cell separator. To ensure safety of the product and the recipient, the donor is encouraged to maintain good personal hygiene to prevent infection. Besides ensuring donor confidentiality, the risks and benefits of donation are clearly explained to the donor. The consent forms and educational material on HPC collection should be clearly written in a language understood by the donor. Thus, the informed consent is an integral part of donor evaluation. In unrelated donations, the patient and donor identity is concealed for a period of time, as mandated by country-specific regulations or registry’s policy. The donor is sensitized to the consequences for the recipient, in case the donor refuses to donate after the initiation of recipient’s conditioning regimen. In BM collections, consent for anesthesia should be additionally taken. Consent for central line insertion is taken in PB stem cell donors with poor venous access (German Standards for Unrelated Blood Stem Cell Donations   2014 ). In case the donor is less than 18 years of age, consent is required to be obtained from the parents or legal guardian. It is desirable to involve donor advocates for differently abled and pediatric donors, who fail to understand the donation process and are unable to give consent. Donor should be informed regarding his availability and additional donation in case of platelet requirement, graft rejection, and immune cell collection. ","['written consent', 'informed consent', 'legal guardian']",3,"['At the time of donor evaluation, an informed written consent on infectious disease testing, mobilization, the process of donation (PB stem cell apheresis or BM aspiration), and storing donor data should be secured.', 'Thus, the informed consent is an integral part of donor evaluation.', 'In case the donor is less than 18\xa0years of age, consent is required to be obtained from the parents or legal guardian.']","[[PB], [], []]","[['ORG'], [], []]","[[131], [], []]","[[133], [], []]","[['written consent'], ['informed consent'], ['legal guardian']]"
