,parsed,has_terms,weight,sentences,entities,labels,position_start,position_end,sentence_has_terms
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC4391421\sections\1_body\1_materials_and_methods\1_p.xml," Raw material . Thyme was harvested during the flowering season (July 2012) from the area around the Broşteni commune – Mehedinţi County, Romania. The plant material was dried in well-ventilated areas, sheltered from direct sunlight and then stored in double-layered paper bags at temperatures of 3-5°C until processing. A voucher specimen (V.FPT-451) was deposited in the Herbarium of the Faculty of Pharmacy, “Victor Babeș” University of Medicine and Pharmacy, Timișoara, Romania.",['flowering season'],1,"['Thyme was harvested during the flowering season (July 2012) from the area around the Broşteni commune – Mehedinţi County, Romania.']","[[Thyme, Mehedinţi County, Romania]]","[['GPE', 'GPE', 'GPE']]","[[0, 104, 122]]","[[5, 120, 129]]",[['flowering season']]
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC5132230\sections\1_body\1_materials_and_methods\1_plant_material\1_p.xml,"The leaves of   A .   suaveolens  were collected from Fazendinha district (00° 02'23 ""S and 51° 06'29"" W) in the Municipality of Macapa, Amapá. Two samples of plant species have been deposited in the Herbarium Amapaense (HAMAB) of the Institute of Scientific Research and Technology of the State of Amapá (IEPA) under the registration No M.R.L. 001. The study was conducted on private land with the permission and consent of the owner to carry out the study on site.",['collected from'],1,"['suaveolens  were collected from Fazendinha district (00° 02\'23 ""S and 51° 06\'29"" W) in the Municipality of Macapa, Amapá.']",[[]],[[]],[[]],[[]],[['collected from']]
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC5203915\sections\1_body\1_2__material_and_methods\3_2_3__antibacterial_and_an\2_2_3_2__determination_of_m\2_p.xml,"The Minimum Bactericidal Concentration (MBC) or Minimum Fungicidal Concentration (MFC) were evaluated for each set of wells. For the MIC evaluation, a loopful of broth was collected from those wells where any growth was observed and then was further inoculated on sterile Mueller-Hinton medium broth for bacteria and Sabouraud medium for yeasts by streaking. The plates were then inoculated with microorganism and were incubated at 37°C for 24 h. After incubation, the lowest concentration was considered as MBC (for bacteria) and MFC (for yeasts) and presented in   μ g/mL, at which no visible growth was observed.",['collected from'],1,"['For the MIC evaluation, a loopful of broth was collected from those wells where any growth was observed and then was further inoculated on sterile Mueller-Hinton medium broth for bacteria and Sabouraud medium for yeasts by streaking.']","[[MIC, Mueller-Hinton]]","[['ORG', 'ORG']]","[[8, 147]]","[[11, 161]]",[['collected from']]
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC5237462\sections\1_body\1_2__material_and_methods\1_2_1__collection_of_plant_\1_p.xml,"The species were collected in the city of Macapá, AP, under the coordinates 00°02′23′′S and 51°06′29′′W and, later, sent to the Herbarium of the Institute of Scientific and Technological Research of the State Amapá, IEPA, for taxonomic identification procedures and preparation of voucher specimen, under the registration number RRS 001.",['collected in'],1,"['The species were collected in the city of Macapá, AP, under the coordinates 00°02′23′′S and 51°06′29′′W and, later, sent to the Herbarium of the Institute of Scientific and Technological Research of the State Amapá, IEPA, for taxonomic identification procedures and preparation of voucher specimen, under the registration number RRS 001.']","[[Macapá, AP, IEPA, RRS 001]]","[['GPE', 'ORG', 'ORG', 'ORG']]","[[42, 50, 216, 329]]","[[48, 52, 220, 336]]",[['collected in']]
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC5248495\sections\1_body\1_methods\1_plant_material\1_p.xml,"The three basil cultivars (  O. basilicum  var.   purpureum ,   O. basilicum  var.   thyrsiflor a, and   O.  x   citriodorum ) were grown from the seeds sown in the greenhouse, with subsequent transplantation of the seedlings to the same field, in the Kotayk Region of Armenia, where they have been growing side by side, at an elevation of 1600 m above the sea level. Plant materials were collected during blossoming period (July–August, 2014). The plant materials were identified at the Institute of Botany, National Academy of Sciences of Armenia, Yerevan (Armenia). The plants were not included in the herbarium as there were cultivated species and not typical for the flora of Armenia. The samples of basil cultivars are available at the Department of Microbiology & Plants and Microbes Biotechnology, Biology Faculty, Yerevan State University, Yerevan, Armenia.",['blossoming period'],1,"['Plant materials were collected during blossoming period (July–August, 2014).']",[[]],[[]],[[]],[[]],[['blossoming period']]
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC5282690\sections\1_body\1_methods\10_platelet_aggregation_assa\1_p.xml,"Wistar rats weighing 250–380 g were slightly anesthetized with ether. Abdominal aorta was catheterized and blood was collected in anti-coagulated tubes with a mixture of acid citric (130 mM)-trisodium citrate (170 mM)-glucose 4% (9:1, v/v). Washed platelets were prepared according to the experimental design reported by Gadi et al. [  51 ]. A first centrifugation of blood (230 x g/15 min) was made and permitted to obtain a platelet rich plasma (PRP), which was centrifuged a second time (400 x g/ 15 min) to obtain the platelet pellet. The platelets were then washed once with washing buffer (NaCl 137 mM, KCl 2.6 mM, NaHCO  3 , 12 mM, MgCl  2  0.9 mM, glucose 5.5 mM, gelatin 0.25%, pH 6.5), centrifuged for the last time (400 ×   g / 15 min) and suspended in the final buffer with the following composition (mM): NaCl 137, KCl 2.6, CaCl  2  1.3, MgCl  2  0.9, glucose 5.5, Hepes 5, gelatin 0.25%, pH 7.4) in order to have a final platelet concentration of 5 × 10  5  cells/mm  3 .",['collected in'],1,"['Abdominal aorta was catheterized and blood was collected in anti-coagulated tubes with a mixture of acid citric (130\xa0mM)-trisodium citrate (170\xa0mM)-glucose 4% (9:1, v/v).']",[[]],[[]],[[]],[[]],[['collected in']]
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC5324201\sections\1_body\1_methods\1_plant_material\1_p.xml,"Whole plants were collected from Keranigonj, Dhaka of Bangladesh after harvesting. The plants were taxonomically classified and identified scientifically by Dr. Sardar Nasir Uddin, PSO, Bangladesh National Herbarium Centre, Dhaka, Bangladesh. A voucher specimen of the plant was preserved in Bangladesh National Herbarium Centre with the Accession Number-31,282. Root samples were chopped into small pieces, dried in a shade by air and ground to powder by grinding machine (100 mesh) and finely stored in an air tight high-density polyethylene bag.",['collected from'],1,"['Whole plants were collected from Keranigonj, Dhaka of Bangladesh after harvesting.']","[[Whole, Keranigonj, Dhaka, Bangladesh]]","[['ORG', 'ORG', 'ORG', 'GPE']]","[[0, 33, 45, 54]]","[[5, 43, 50, 64]]",[['collected from']]
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC5330108\sections\1_body\1_materials_and_methods\1_preparation_of_essential_\1_p.xml,"The plant was collected from herbal farm, Mysore, India. Leaves are washed thoroughly, dried in shade, and powdered. The essential oil was obtained from hydrodistillation using a Clevenger-type apparatus in accordance with the method recommended by the European Pharmacopoeia.[  39 ] The extraction was performed for 180 min and 200 g of powder yield the 1000 μL of oil. The oil obtained was stored at 4°C and protected from light for subsequent use and chemical analysis.",['collected from'],1,"['The plant was collected from herbal farm, Mysore, India.']","[[Mysore, India]]","[['GPE', 'GPE']]","[[42, 50]]","[[48, 55]]",[['collected from']]
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC5393100\sections\1_body\1_materials_and_methods\3_in_vivo_investigation\2_p.xml,"The experiment was performed in two phases. In the first phase (90 days), all experimental groups received CDD for the induction of NAFLD, except one group which received normal pellet diet (sham). At the end of this phase, blood samples, collected from the jugular vein, were analyzed for the confirmation of NAFLD induction.",['collected from'],1,"['At the end of this phase, blood samples, collected from the jugular vein, were analyzed for the confirmation of NAFLD induction.']",[[NAFLD]],[['ORG']],[[112]],[[117]],[['collected from']]
C:\Users\shweata\dictionary\ethics_statement_project\oil186\PMC5393100\sections\1_body\1_materials_and_methods\3_in_vivo_investigation\3_p.xml,"In the second phase, lasted 30 days, sham group continued treatment with normal diet while CDD-treated animals received the following treatments: CDD along with vehicle (as negative control), simvastatin (10 mg/kg, as positive control), 25 mg/kg anise fruit extract (AE), 50 mg/kg AE, 100 mg/kg AE, 200 mg/kg AE, 0.125 ml/kg anise fruit essential oil (AO), 0.25 ml/kg AO, and 0.5 ml/kg AO. The suggested doses for AO were calculated based on a primary study for the determination of LD50. Animal weight gain was periodically measured. At the end of the second phase, all rats were sacrificed, blood samples were collected in heparinized test tubes, and the sera were obtained after centrifuge (3000 rpm) for 20 min.[  20 ] Serum levels of TC, LDL-C, HDL-C, TAG, AST, and ALT were measured using standard laboratory kits.",['collected in'],1,"['At the end of the second phase, all rats were sacrificed, blood samples were collected in heparinized test tubes, and the sera were obtained after centrifuge (3000 rpm) for 20 min.']",[[]],[[]],[[]],[[]],[['collected in']]
