,file_path,paragraph,sentence,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
1,C:\Users\shweata\docanalysis\terpene_fig\PMC8457177\sections\2_body\15_fig.xml,"Figure 3Investigations into the stereoselectivity of humulene formation: A, position of key residue L285 in the active site; B, total ion chromatogram of extracts from incubation of AsR6 with rac‐NPP 9; C, incubation of EupR3 with 9; D, incubation of AsR6L285M with 9; E, incubation of EupR3M261L with 9.","Figure 3Investigations into the stereoselectivity of humulene formation: A, position of key residue L285 in the active site; B, total ion chromatogram of extracts from incubation of AsR6 with rac‐NPP 9; C, incubation of EupR3 with 9; D, incubation of AsR6L285M with 9; E, incubation of EupR3M261L with 9.","L285, AsR6","CHEMICAL, CHEMICAL","100, 182","104, 186",,,,
2,C:\Users\shweata\docanalysis\terpene_fig\PMC8457177\sections\2_body\1_fig.xml,"Scheme 1A, representative examples of tropolone sesquiterpenoids; B, proposed humulene formation during the biosynthesis of 1–4; dashed arrows=putative steps in the formation of 6; B=general base.","Scheme 1A, representative examples of tropolone sesquiterpenoids; B, proposed humulene formation during the biosynthesis of 1–4; dashed arrows=putative steps in the formation of 6; B=general base.",tropolone sesquiterpenoids,CHEMICAL,38,64,,,,
4,C:\Users\shweata\docanalysis\terpene_fig\PMC8457177\sections\2_body\6_fig.xml,"Figure 1Total ion chromatograms of extracts from assays of wildtype enzymes and mutants with FPP 7: A, incubation of AsR6 with 7; B, incubation of EupR3 with 7; C, incubation of AsR6K289S with 7; D, incubation of AsR6L285N_K289S with 7; E, incubation of AsR6L285M with 7; F, incubation of EupR3M261L with 7.","Figure 1Total ion chromatograms of extracts from assays of wildtype enzymes and mutants with FPP 7: A, incubation of AsR6 with 7; B, incubation of EupR3 with 7; C, incubation of AsR6K289S with 7; D, incubation of AsR6L285N_K289S with 7; E, incubation of AsR6L285M with 7; F, incubation of EupR3M261L with 7.","FPP, AsR6","CHEMICAL, CHEMICAL","93, 117","96, 121",,,,
5,C:\Users\shweata\docanalysis\terpene_fig\PMC8457177\sections\2_body\8_fig.xml,"Figure 2Crystal structure of AsR6: A, crystal structure of the AsR6 dimer; chain A shown as cartoon coloured from N‐ (blue) to C‐terminus (red); chain B shown in surface representation; ligands are represented as sticks/spheres; B, crystal structure of AsR6 in complex with in crystallo cyclized reaction product and thiolodiphosphate; Zn2+‐binding site highlighted in red; C, AsR6 Mg2+‐binding site showing bound humulene (green); D, structural alignment of the diphosphate binding site in AsR6 (Mg2+=light green; residues=cyan) and selinadiene synthase (PDB: 4okm, Mg2+=dark green; residues=grey, italic labels).","Figure 2Crystal structure of AsR6: A, crystal structure of the AsR6 dimer; chain A shown as cartoon coloured from N‐ (blue) to C‐terminus (red); chain B shown in surface representation; ligands are represented as sticks/spheres; B, crystal structure of AsR6 in complex with in crystallo cyclized reaction product and thiolodiphosphate; Zn2+‐binding site highlighted in red; C, AsR6 Mg2+‐binding site showing bound humulene (green); D, structural alignment of the diphosphate binding site in AsR6 (Mg2+=light green; residues=cyan) and selinadiene synthase (PDB: 4okm, Mg2+=dark green; residues=grey, italic labels).","AsR6, AsR6, C‐terminus, AsR6, AsR6, diphosphate, AsR6, Mg2+=light green, selinadiene","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","29, 63, 127, 253, 377, 463, 491, 497, 534","33, 67, 137, 257, 381, 474, 495, 513, 545",,,,
6,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\1_whole-genome_sequencing__assem\2_fig.xml,"FIGURE 1Morphology, genomic landscape and SSR information of G. tsugae. (A) Fruiting body of wild G. tsugae. (B) Circos plot of G. taugse genome assembly. From outside to inside, track 1, sequence depth for second-generation (Illumina) sequencing; track 2, sequence depth for third-generation (Pacbio) sequencing; track 3–6, homozygous SNPs, heterozygous SNPs, homozygous InDels, and heterozygous InDels detected by second-generation sequencing; track 7, single-copy BUSCOs; track 8, duplicated BUSCOs; track 9, GC content; track 10, gene density; and track 11, location of positive selected genes (PSG). For each track, 50 kb window size was used. (C) Distribution to different repeat-type classes. MNR, DNR, TNR, TTP, PNR, and HNR indicate mono-, di-, tri-, tetra-, penta-, and hexa-nucleotide repeats. (D) The electrophoretic pattern of partial SSR primers developed for G. tsugae.","FIGURE 1Morphology, genomic landscape and SSR information of G. tsugae.",SSR,CHEMICAL,42,45,,,,
12,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\1_whole-genome_sequencing__assem\2_fig.xml,"FIGURE 1Morphology, genomic landscape and SSR information of G. tsugae. (A) Fruiting body of wild G. tsugae. (B) Circos plot of G. taugse genome assembly. From outside to inside, track 1, sequence depth for second-generation (Illumina) sequencing; track 2, sequence depth for third-generation (Pacbio) sequencing; track 3–6, homozygous SNPs, heterozygous SNPs, homozygous InDels, and heterozygous InDels detected by second-generation sequencing; track 7, single-copy BUSCOs; track 8, duplicated BUSCOs; track 9, GC content; track 10, gene density; and track 11, location of positive selected genes (PSG). For each track, 50 kb window size was used. (C) Distribution to different repeat-type classes. MNR, DNR, TNR, TTP, PNR, and HNR indicate mono-, di-, tri-, tetra-, penta-, and hexa-nucleotide repeats. (D) The electrophoretic pattern of partial SSR primers developed for G. tsugae.","MNR, DNR, TNR, TTP, PNR, and HNR indicate mono-, di-, tri-, tetra-, penta-, and hexa-nucleotide repeats.","DNR, TTP, PNR, mono-, di-, tri-, penta-, hexa-nucleotide","CHEMICAL, DISEASE, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","5, 15, 20, 42, 49, 54, 68, 80","8, 18, 23, 47, 52, 58, 74, 95",,,,
13,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\1_whole-genome_sequencing__assem\2_fig.xml,"FIGURE 1Morphology, genomic landscape and SSR information of G. tsugae. (A) Fruiting body of wild G. tsugae. (B) Circos plot of G. taugse genome assembly. From outside to inside, track 1, sequence depth for second-generation (Illumina) sequencing; track 2, sequence depth for third-generation (Pacbio) sequencing; track 3–6, homozygous SNPs, heterozygous SNPs, homozygous InDels, and heterozygous InDels detected by second-generation sequencing; track 7, single-copy BUSCOs; track 8, duplicated BUSCOs; track 9, GC content; track 10, gene density; and track 11, location of positive selected genes (PSG). For each track, 50 kb window size was used. (C) Distribution to different repeat-type classes. MNR, DNR, TNR, TTP, PNR, and HNR indicate mono-, di-, tri-, tetra-, penta-, and hexa-nucleotide repeats. (D) The electrophoretic pattern of partial SSR primers developed for G. tsugae.",(D) The electrophoretic pattern of partial SSR primers developed for G. tsugae.,SSR,CHEMICAL,43,46,,,,
27,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\6_whole-genome_snp_analysis_for_\2_fig.xml,"FIGURE 4Whole-genome SNP variants on the G. tsugae genome. (A) SNP density distribution along genome. (B) SNP numbers in each genomic regions. (C) SNP density for each genomic regions, different letters within the boxes represent significant differences (p < 0.05). The GO (D) and KEGG (E) enrichment for top 1,000 highest SNP density genes.",FIGURE 4Whole-genome SNP variants on the G. tsugae genome.,SNP,CHEMICAL,21,24,,,,
28,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\6_whole-genome_snp_analysis_for_\2_fig.xml,"FIGURE 4Whole-genome SNP variants on the G. tsugae genome. (A) SNP density distribution along genome. (B) SNP numbers in each genomic regions. (C) SNP density for each genomic regions, different letters within the boxes represent significant differences (p < 0.05). The GO (D) and KEGG (E) enrichment for top 1,000 highest SNP density genes.",(A) SNP density distribution along genome.,SNP,CHEMICAL,4,7,,,,
29,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\6_whole-genome_snp_analysis_for_\2_fig.xml,"FIGURE 4Whole-genome SNP variants on the G. tsugae genome. (A) SNP density distribution along genome. (B) SNP numbers in each genomic regions. (C) SNP density for each genomic regions, different letters within the boxes represent significant differences (p < 0.05). The GO (D) and KEGG (E) enrichment for top 1,000 highest SNP density genes.",(B) SNP numbers in each genomic regions.,SNP,CHEMICAL,4,7,,,,
30,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\6_whole-genome_snp_analysis_for_\2_fig.xml,"FIGURE 4Whole-genome SNP variants on the G. tsugae genome. (A) SNP density distribution along genome. (B) SNP numbers in each genomic regions. (C) SNP density for each genomic regions, different letters within the boxes represent significant differences (p < 0.05). The GO (D) and KEGG (E) enrichment for top 1,000 highest SNP density genes.","(C) SNP density for each genomic regions, different letters within the boxes represent significant differences (p < 0.05).",SNP,CHEMICAL,4,7,,,,
31,C:\Users\shweata\docanalysis\terpene_fig\PMC8481371\sections\2_body\2_results\6_whole-genome_snp_analysis_for_\2_fig.xml,"FIGURE 4Whole-genome SNP variants on the G. tsugae genome. (A) SNP density distribution along genome. (B) SNP numbers in each genomic regions. (C) SNP density for each genomic regions, different letters within the boxes represent significant differences (p < 0.05). The GO (D) and KEGG (E) enrichment for top 1,000 highest SNP density genes.","The GO (D) and KEGG (E) enrichment for top 1,000 highest SNP density genes.",SNP,CHEMICAL,57,60,,,,
