,parsed,has_terms,weight,sentences,entities,labels,position_start,position_end,sentence_has_terms
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC7834095\sections\1_body\1_methods\1_cell_isolation_and_cultur\2_p.xml,"Primary cells from AML patients were obtained from leukapheresis at diagnosis. All patients provided their written informed consent as to the use of their biological material for research purposes, in accordance with the Helsinki Declaration. The project was approved by the Ethics Committee of the Institute of Hematology, and all experiments were performed in accordance with relevant guidelines and regulations. The leukapheretic products were diluted 20-fold in phosphate-buffered saline (PBS) and the mononuclear cell fraction was then separated using Histopaque-1077 (Sigma, #H8889). Analysis by flow cytometry (CD45/SSC dotplots) confirmed a high prevalence of leukemia blasts in mononuclear cell samples.",['Ethics Committee of'],1,"['The project was approved by the Ethics Committee of the Institute of Hematology, and all experiments were performed in accordance with relevant guidelines and regulations.']",[[the Ethics Committee of the Institute of Hematology]],[['ORG']],[[28]],[[79]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8002939\sections\1_body\4_5__material_and_methods\1_5_1__cell_cultures\1_p.xml,"The experimental procedures followed the rules approved by the Ethics Committee of the Luigi Vanvitelli Campania University. Patients were informed of the research and gave permission for the use of biological samples. Bone marrow was obtained from three healthy donors. Cells were separated through Ficoll density gradient (GE Healthcare, Chicago, IL, USA), and the mononuclear cell fraction was collected and washed in phosphate-buffered saline solution (PBS, Microgem, Naples, Italy). We seeded 1 to 2.5 × 10  5 cells/cm  2  in alpha-minimum essential medium (alpha-MEM, Microgem) supplemented with 10% fetal bovine serum (FBS, Euroclone, Pero, Italy) and 1 ng/mL beta-fibroblast growth factor (β-FGF, Prepotech, London, UK). After 72 h, non-adherent cells were discarded, and adherent cells were further cultivated to reach confluency. We verified that, under our experimental conditions, the bone-marrow stromal cultures contained MSCs that fulfilled the three criteria proposed to define MSCs [  35 ]. All experiments were conducted on MSC cultures at passage 3 when senescence phenomena were minimal [  36 ].",['Ethics Committee of'],1,['The experimental procedures followed the rules approved by the Ethics Committee of the Luigi Vanvitelli Campania University.'],[[the Ethics Committee]],[['ORG']],[[59]],[[79]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8002939\sections\2_back\4_notes.xml, Informed Consent Statement  The experimental procedures followed the rules approved by the Ethics Committee of the Luigi Vanvitelli Campania University (number 887 C.E. 2008). The study was conducted according to the guidelines of the Declaration of Helsinki. Participants were provided with information about the research and gave permission for the use of biological samples. ,['Ethics Committee of'],1,['The experimental procedures followed the rules approved by the Ethics Committee of the Luigi Vanvitelli Campania University (number 887 C.E. 2008).'],[[the Ethics Committee]],[['ORG']],[[59]],[[79]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8003094\sections\2_back\5_notes.xml, Institutional Review Board Statement  The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Institutional Review Board of University of Michigan (HUM0009149). ,['Institutional Review Board of'],1,['The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Institutional Review Board of University of Michigan (HUM0009149).'],[[the Institutional Review Board of University of Michigan]],[['ORG']],[[99]],[[155]],[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8003734\sections\2_back\5_notes.xml," Institutional Review Board Statement  The study was conducted according to the guidelines of the Declaration of Helsinki, and approved by the Institutional Review Board of the Chulalongkorn University Faculty of Dentistry (protocol code DENT CU-IBC 006/2019 approved on 31 March 2019, and protocol code DENT CU-IBC 006/2020 approved on 31 March 2020). ",['Institutional Review Board of'],1,"['The study was conducted according to the guidelines of the Declaration of Helsinki, and approved by the Institutional Review Board of the Chulalongkorn University Faculty of Dentistry (protocol code DENT CU-IBC 006/2019 approved on 31 March 2019, and protocol code DENT CU-IBC 006/2020 approved on 31 March 2020).']","[[the Institutional Review Board, the Chulalongkorn University Faculty of Dentistry]]","[['ORG', 'ORG']]","[[100, 134]]","[[130, 183]]",[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8004006\sections\1_body\3_4__materials_and_methods\1_p.xml,"All work was approved by the Animal Care and Use Committee of the Keenan Research Centre for Biomedical Science of St. Michael’s Hospital—Unity Health Toronto, Toronto (ACC648), and conducted under license from Health Canada. All studies on human peripheral blood mononuclear cells were approved by the Research Ethics Board of St. Michael’s Hospital—Unity Health Toronto, Toronto (REB: 14-278). All experiments were carried out in the research laboratories at St. Michael’s Hospital—Unity Health Toronto, Toronto. More detailed methods are available in the   supplemental data file .",['Animal Care and Use Committee of'],1,"['All work was approved by the Animal Care and Use Committee of the Keenan Research Centre for Biomedical Science of St. Michael’s Hospital—Unity Health Toronto, Toronto (ACC648), and conducted under license from Health Canada.']","[[the Keenan Research Centre for Biomedical Science of St. Michael’s Hospital, Toronto, Toronto, Health Canada]]","[['ORG', 'GPE', 'GPE', 'ORG']]","[[62, 151, 160, 211]]","[[137, 158, 167, 224]]",[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8004006\sections\2_back\5_notes.xml," Institutional Review Board Statement  The study was conducted according to the guidelines of the Declaration of Helsinki, and approved by the Animal Care and Use Committee of the Keenan Research Centre for Biomedical Science of St. Michael’s Hospital—Unity Health Toronto, Toronto, ON, Canada (ACC648, approved 26 September 2015), and conducted under license from Health Canada. All studies on human peripheral blood mononuclear cells were approved by the Research Ethics Board of St. Michael’s Hospital—Unity Health Toronto, Toronto, ON, Canada (REB: 14-278, approved 11 December 2014). All experiments were carried out in the research laboratories at St. Michael’s Hospital—Unity Health Toronto, Toronto, ON, Canada. ",['Animal Care and Use Committee of'],1,"['The study was conducted according to the guidelines of the Declaration of Helsinki, and approved by the Animal Care and Use Committee of the Keenan Research Centre for Biomedical Science of St. Michael’s Hospital—Unity Health Toronto, Toronto, ON, Canada (ACC648, approved 26 September 2015), and conducted under license from Health Canada.']","[[the Keenan Research Centre for Biomedical Science of St. Michael’s Hospital, Toronto, Toronto, ON,, Canada, ACC648, Health Canada]]","[['ORG', 'GPE', 'GPE', 'ORG', 'GPE', 'ORG', 'ORG']]","[[137, 226, 235, 244, 248, 256, 326]]","[[212, 233, 242, 247, 254, 262, 339]]",[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8004757\sections\2_back\5_notes.xml, Institutional Review Board Statement  The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Manchester Metropolitan University Institutional Ethics Committee of EthOS; project ID 24407; June 2018. ,['Ethics Committee of'],1,['The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Manchester Metropolitan University Institutional Ethics Committee of EthOS; project ID 24407; June 2018.'],[[the Manchester Metropolitan University Institutional Ethics Committee of EthOS]],[['ORG']],[[99]],[[177]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8032248\sections\2_back\1_ethics_approval_and_conse\1_p.xml,This study was approved by the Research Ethics Committee of Wenzhou Medical University.,['Ethics Committee of'],1,['This study was approved by the Research Ethics Committee of Wenzhou Medical University.'],"[[the Research Ethics Committee, Wenzhou Medical University]]","[['ORG', 'ORG']]","[[27, 60]]","[[56, 86]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300\PMC8055957\sections\1_body\1_materials_and_methods\5_mouse_agvhd_model_and_tre\1_p.xml,"The animal study was reviewed and approved by Ethics Committee of Rizhao People’s Hospital. Healthy male C57BL/6 and BALB/c mice (6–8 weeks old and weighing 120–150 g, purchased from Charles River, Beijing, China) were used for the following experiments after 1 week of acclimation. The mouse model of aGVHD was established by allogeneic cell transplantation as previously described (  Lai et al., 2018 ). C57BL/6 mice were sacrificed by cervical dislocation method. The femur and tibia were taken and cut both sides, then the medullary cavity was repeatedly washed with PBS. The bone marrow cell suspension was filtered through a 40-μm filter and then centrifuged at 1,000 rpm for 5 min. Red blood cell lysate was added to remove blood cells. After centrifugation, bone marrow cells were collected, and the final concentration was adjusted to 6 × 10  7 /ml. Meanwhile, spleen was obtained to collect spleen cells, similar to the method of bone marrow cells, and the final concentration of spleen cells was adjusted to 3 × 10  7 /ml. On day 0, recipient BALB/c mice received total body irradiation with 8 Gy per mouse at a dose rate of 0.5 Gy/min. Four hours post-irradiation, mice were injected with 100 μl bone marrow cells and 100 μl spleen cells via tail vein. Mice in the exosomes injection group (  n  = 10) were injected with 200 μg exosomes per mouse via tail vein on the day of transplantation. After the treatment, the body weight and survival situation of mice were monitored every 3 days to plot body weight curve and survival curve, until death of animal or termination of the study on day 30. Meanwhile, five indicators, including body weight, activity, posture, skin texture, and hair removal, were scored as 0–2 based on severity, and the total scores were considered as the clinical score. The animals in different treatment groups were not randomly housed. The clinical scores of aGVHD mice were evaluated by two independent researchers in a blind way.",['Ethics Committee of'],1,['The animal study was reviewed and approved by Ethics Committee of Rizhao People’s Hospital.'],[[Ethics Committee of Rizhao People’s Hospital]],[['ORG']],[[46]],[[90]],[['Ethics Committee of']]
